id,collection,dc.contributor.author[],dc.date.issued[],dc.description.abstract[],dc.description.audio[],dc.description[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[],dc.relation.isformatof[],dc.subject[],dc.title.alternative[],dc.title[],dc.type[]
"44532","1813/42947","Habermas, Jürgen","9/10/1984","Habermas discusses the theories of Heidegger and their relation to modernity, postmodernity and rationalism.","1_jielxcjp||1_x0e98uen","Recorded in Ithaca, NY by Cornell University., Speaker(s): Professor of sociology at the Frankfurt School, West Germany., Lecture, September 10, 1984.||62 minutes","http://hdl.handle.net/1813/43375",,"en_US","3601188","Heidegger, Martin, 1889-1976||Social sciences--Philosophy||Philosophy, Modern--20th century||Rationalism 1900 - 1999","The philosophical discourse on modernity and postmodernity.|Messenger lectures.","Heidegger's overcoming of occidental rationalism","Sound"
"44529","1813/42947","Derrida, Jacques","4/20/1984","Derrida distinguishes between the fiction and reality of nuclear war, places the nuclear age within the context of history, and clarifies the role of the critic in nuclear discourse.","1_038y3qyn||1_8omxbpb9||1_57nllbsb||1_r3go1yus","Recorded in Ithaca, NY by Cornell University., Sponsored by: Peace Studies Program,University Lectures Committee,Western Societies Program,Arts and Sciences, College of,Women's Studies Program,Romance Studies, Department of., Lecture, April 20, 1984.||75 minutes","http://hdl.handle.net/1813/43372",,"en_US","3601123","Inventions||Nuclear warfare--Social aspects||Discourse analysis||Semiotics","Nuclear criticism.|Diacritics colloquia.","Invention in the nuclear age--no apocalypse, not now","Sound"
"44533","1813/42947","Habermas, Jürgen","9/11/1984","Habermas examines Bataille's views on modernity, postmodernity, and social theory.","1_v0mslhis||1_hhhyswse||1_upayvlqo","Recorded in Ithaca, NY by Cornell University., Speaker(s): Professor of sociology at the Frankfurt School, West Germany., Lecture, September 11, 1984.||105 minutes","http://hdl.handle.net/1813/43376",,"en_US","3601185","Bataille, Georges, 1897-1962||Social sciences--Philosophy||Philosophy, Modern--20th century 1900 - 1999","The philosophical discourse on modernity and postmodernity.|Messenger lectures.","Bataille: between eroticism and economy of nature","Sound"
"44535","1813/42947","Habermas, Jürgen","9/12/1984","Habermas examines the role of society in creating sciences' great men.","1_wqp10urs||1_xs7tnn57","Recorded in Ithaca, NY by Cornell University., Speaker(s): Professor of sociology at the Frankfurt School, West Germany., Lecture, September 12, 1984.||90 minutes","http://hdl.handle.net/1813/43378",,"en_US","3601183","Foucault, Michel, 1926-1984||Philosophy, Modern--Philosophy||Social sciences--Philosophy 1900 - 1999","The philosophical discourse on modernity and postmodernity.|Messenger lectures.","Foucault's unmasking of the human sciences","Sound"
"44537","1813/42947","Dover, K. J. (Kenneth James), 1920-2010","9/18/1984","Dover discusses representations of and interest in homosexuality in ancient Greece, particularly relating to adolescent initiation into adulthood.","1_78mpa5tr||1_isx8b5hm","Recorded in Ithaca, NY by Cornell University., Sponsored by: Andrew D. White Professors-At-Large Program., Lecture, September 18, 1984.||75 minutes","http://hdl.handle.net/1813/43380",,"en_US","3604597","Homosexuality||Greece--History--To 146 B.C To 146 B.C.","Andrew D. White Professors-At-Large lectures.","Homosexuality and initiation in ancient Greece","Sound"
"44538","1813/42947","Certeau, Michel de","9/19/1984","deCerteau discusses the development of mysticism in Spain and France.","1_wv9eckzi||1_h08402vr||1_lm1oh783||1_okichluq","Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Lecture, September 19, 1984.||120 minutes","http://hdl.handle.net/1813/43381",,"en_US","3601232","Mysticism||Spain--History--16th century||Spain--History--17th century||France--History--16th century||France--History--17th century 1500 - 1699",,"Sixteenth and seventeenth century Spanish and French mysticism, part 2","Sound"
"44536","1813/42947","Thomas, Helen, 1920-2013","9/17/1984","Thomas outlines the last days of the 1984 presidential campaign, discusses Reagan as President, and explains the relationship of the media with the President, in general, and with Reagan, in particular.","1_uv492pd7||1_zlcghfa4","Recorded in Ithaca, NY by Cornell University., Speaker(s): Thomas is a journalist who covers the White House., Lecture, September 17, 1984.||60 minutes","http://hdl.handle.net/1813/43379",,"en_US","3601213","Elections--United States||Presidents--United States--Election||Politics, Practical",,"The final fifty days of the presidential campaign","Sound"
"44534","1813/42947","Certeau, Michel de","9/12/1984","deCerteau discusses literary mysticism in 16th and 17th century Spain and France.","1_is55abq9||1_dqhdj59e","Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Lecture, September 12, 1984.||85 minutes","http://hdl.handle.net/1813/43377",,"en_US","3601184","Mysticism in literature||Spanish literature--Classical period, 1500-1700||French literature--17th and 18th century 1500 - 1799",,"Sixteenth and seventeenth century Spanish and French mysticism, part 1","Sound"
"44581","1813/42947","Schwaetzer, Irmgard, 1942-","10/30/1985","Adan-Schaetzer discusses West German political parties and social political conditions in West Germany.","1_nn1w83vv||1_n9d9l5dw","Recorded in Ithaca, NY by Cornell University., Sponsored by: Western Societies Program., Speaker(s): Member of the Free Democratic Party., Lecture, October 30, 1985.||60 minutes","http://hdl.handle.net/1813/43422",,"en_US","3600299",,,"West German parties and their politics","Sound"
"44610","1813/42947","Salpeter, Edwin E.","10/28/1987","Saltpeter describes his involvement in scietific consultation regarding government military projects.","1_u8opkmmq||1_wgp7kyn9||1_zd58uibz","Recorded in Ithaca, NY by Cornell University., Sponsored by: Science, Technology and Society, Program on,Society for Awareness in Science (SAS)., Speaker(s): Saltpeter is the James Gilbert White Distinguished Professor in the Physical Sciences and has been a member of the President's Scientific Advisory Committee and Director of the Center for Radiophysics and Space Research., Lecture, October 28, 1987.||85 minutes","http://hdl.handle.net/1813/43448",,"en_US","3600419","Military research||Scientists in government",,"A university physicist and the pentagon: consulting for the military in the 60's","Sound"
"44567","1813/42947","Lowi, Theodore J.||Robinson, Kenneth Leon, 1921-","3/14/1985","Robinson discusses American agricultural policy and its successful economic impact. Lowi discusses American politics' effect on agriculture through history, focusing on economic changes.","1_mfnb7r6t||1_zx0vilp3","Recorded in Ithaca, NY by Cornell University., Sponsored by: Biology and Society Major., Lecture, March 14, 1985.||77 minutes","http://hdl.handle.net/1813/43408",,"en_US","3600735","Agriculture--Economic aspects||Agriculture--United States||Agriculture and politics",,"Agricultural policy in the United States: political and economic dimensions","Sound"
"44541","1813/42947","Anderson, Benedict R. O'G, (Benedict Richard O'Gorman), 1936-2015||Weiss, John Hubbel||Kramnick, Isaac||Cohen, Walter, 1949-","9/21/1984","Panel members discuss the interrelationship between language, literature and nationalism.","1_8717tnjz||1_j21c0bzu||1_4gpgs1tb","Recorded in Ithaca, NY by Cornell University., Panel, September 21, 1984.||110 minutes","http://hdl.handle.net/1813/43382",,"en_US","3601231","Nationalism||Language and languages--Political aspects",,"Language, literature, and national consciousness","Sound"
"44617","1813/42947","Hart, Gary, 1936-","11/16/1987","Hart discusses the importance of politics in everyone's lives and calls for a theme of excellence in the country's education, domestic spending, foreign policy and outlook for the future.","1_k53cgn1g","Recorded in Ithaca, NY by Cornell University., Sponsored by: Cornell University Program Board., Speaker(s): United States Senator (Dem.- Colorado), former presidential candidate., Lecture, November 16, 1987.||70 minutes","http://hdl.handle.net/1813/43455",,"en_US","3600474",,,"America's third century: an agenda for reform","Sound"
"44614","1813/42947","Karoniaktatie, Rokwaho, 1953-","11/11/1987","Two native American Indian poets read from their works.","1_pxc3qs10||1_deh5m88r||1_96569xv0","Recorded in Ithaca, NY by Cornell University., Sponsored by: American Indian Program., Reading, November 11, 1987.||95 minutes","http://hdl.handle.net/1813/43452",,"en_US","3600470",,,"An evening with two Mohawk poets","Sound"
"44574","1813/42947","Lynch, Dotty","4/15/1985","Lynch describes the use of polls in presidential campaigns, specifically the 1984 campaign.","1_9sxvsg4v||1_jdzmo4qf","Recorded in Ithaca, NY by Cornell University., Sponsored by: Cornell Institute for Social and Economic Research (CISER)., Lecture, April 15, 1985.||62 minutes","http://hdl.handle.net/1813/43415",,"en_US","3600906","Politics, Practical||Public opinion polls||Elections--United States||Presidents--United States","Polling and the political process.","Survey research and presidential campaigns: the Democrats in 1984","Sound"
"44578","1813/42947","Derrida, Jacques","9/11/1985","Derrida translates, reads, and discusses the work of Heidegger.","1_4y0f8h42||1_is3t9q41||1_temd0nq7","Recorded in Ithaca, NY by Cornell University., Sponsored by: Andrew D. White Professors-At-Large Program., Speaker(s): French philosopher and author., Lecture, September 11, 1985.||115 minutes","http://hdl.handle.net/1813/43419",,"en_US","3604611","Heidegger, Martin, 1889-1976||History--Philosophy||Philosophy","Andrew D. White Professors-At-Large lectures.","Heidegger's hand","Sound"
"44616","1813/42947","Turner, Judith","11/13/1987","Turner discusses her slides which show different aspects of interior design.","1_lldo53q6||1_jtx4xqeu","Recorded in Ithaca, NY by Cornell University., Sponsored by: Art, Department of,Council on the Creative and Performing Arts., Speaker(s): Turner is a professional photographer., Lecture, November 13, 1987.||75 minutes","http://hdl.handle.net/1813/43454",,"en_US","3600457","Photography, Artistic||Architectural photography","New York State capital in Albany: preservation, planning, architectural history, and photography.|Nancy G. Dickenson visiting artist lectures.","Annotations on ambiguity","Sound"
"44602","1813/42947","Orlov, Yuri, 1924-||Dudley, Mary Jo, 1956-","2/27/1987","The speakers discussed human rights violations in the Soviet Union and El Salvador and answered questions from the audience. Orlov used an interpreter.","1_xsjw2sr0||1_5284i4h1","Recorded in Ithaca, NY by Cornell University., Sponsored by: Amnesty International., Speaker(s): Orlov is a physicist at Cornell who was recently allowed to emigrate from the Soviet Union. Dudley is coordinator of CUSLAR., Panel, February 27, 1987.||85 minutes","http://hdl.handle.net/1813/43441",,"en_US","3600168","Civil rights--El Salvador||Civil rights--Soviet Union",,"Human rights violations in the Soviet Union and El Salvador","Sound"
"44556","1813/42947","Kleihues, Josef Paul","11/2/1984","Kleihues describes the current architectual designs being used in the renovation of inner-city Berlin.","1_ly2s955m||1_a0lul2dz","Recorded in Ithaca, NY by Cornell University., Lecture, November 2, 1984.||84 minutes","http://hdl.handle.net/1813/43397",,"en_US","3601081","Berlin (Germany)||Architecture--Conservation and restoration||Architecture--Germany","Preston H. Thomas memorial lectures.","Architecture between individualism and convention","Sound"
"44575","1813/42947","Wilson, Kenneth G. (Kenneth Geddes), 1936-2013","4/15/1985","Wilson discusses the capabilities and effects of the supercomputer presently being installed at Cornell.","1_4xr3y1f2||1_vs1vr3ny","Recorded in Ithaca, NY by Cornell University., Sponsored by: University Unions Programming Board., Lecture, April 15, 1985.||69 minutes","http://hdl.handle.net/1813/43416",,"en_US","3600899","Cornell University--Computers||Computers||Supercomputers||Parallel processing (Electronic computers)",,"Uncovering the supercomputer","Sound"
"44548","1813/42947","Katzenstein, Mary Fainsod, 1945-||Feldman, Margaret","10/9/1984","Katzenstein speaks of Reagan's attempts to reestablish the patriarchal family as predominant in the U.S. Feldman speaks of Reagan's attempts to curtail federal medical assistance for the elderly, a disproportionate number of whom are living in poverty.","1_h1kb4ai4||1_66vmji8t","Recorded in Ithaca, NY by Cornell University., Lecture, October 9, 1984.||81 minutes","http://hdl.handle.net/1813/43389",,"en_US","3601147","Reagan, Ronald||United States. President (1981-1989 : Reagan)||Women--United States--Social conditions--1980-||Women--Legal status, laws, etc Since 1980",,"Assessing Reagan's record: women's concerns","Sound"
"44590","1813/42947","Fuentes, Carlos","2/24/1986","Fuentes looks at the Spanish legacy of Latin America and the situation at the end of the 15th century and beginning of the 16th century.","1_fzzyguuq||1_pycbanlp","Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Speaker(s): Fuentes is a noted Mexican author and critic., Lecture, February 24, 1986.||62 minutes","http://hdl.handle.net/1813/43431",,"en_US","3600199","Latin America--Civilization||Latin America--History||Latin America--Politics and government",,"Latin America and the West: historical origins and cultural contexts--#4: The West we knew","Sound"
"44554","1813/42947","Kleihues, Josef Paul","10/31/1984","Kleihues describes several of the civic designs which were suggested for Berlin during the period 1900-1965.","1_ve3dn622||1_p5murkne","Recorded in Ithaca, NY by Cornell University., Lecture, October 31, 1984.||79 minutes","http://hdl.handle.net/1813/43395",,"en_US","3601074","Architecture--Germany--1900-1965||City planning--Germany--Berlin 1900 - 1965","Preston H. Thomas memorial lectures.","Berlin architecture and urban design since 1900","Sound"
"44589","1813/42947","McCleary, Peter","2/19/1986","McCleary discusses technology, emphasizing architecture, and its interaction with society. He proposes that experience and knowledge of the world is through levels of mediation with the physical world.","1_q9qkh66n||1_kx1gqz94","Recorded in Ithaca, NY by Cornell University., Sponsored by: History and Philosophy of Science and Technology, Program in the., Lecture, February 19, 1986.||80 minutes","http://hdl.handle.net/1813/43430",,"en_US","3600513","Architecture and society||Technology--Social aspects||Existentialism||Philosophy, Modern--20th century 1900 - 1999",,"The metamorphosis of perception through production","Sound"
"44580","1813/42947","Shevchenko, Arkady N.","10/24/1985","Shevchenko describes his own experiences as a Soviet diplomat and as a defector from the Soviet Union and discusses US-USSR relations.","1_ggqlgc2v||1_5eu5mnoe","Recorded in Ithaca, NY by Cornell University., Sponsored by: Center for International Studies., Speaker(s): Soviet defector and former Soviet diplomat., Lecture, October 24, 1985.||55 minutes","http://hdl.handle.net/1813/43421",,"en_US","3600787","Political refugees--Soviet Union||Defectors||United States--Foreign relations--Soviet Union||Soviet Union--Foreign relations--United States",,"Breaking with Moscow: revelations of a Soviet diplomat","Sound"
"44553","1813/42947","Goodstein, David B., 1932-","10/30/1984","Goodstein discusses social change which has occurred during the past 20 years and its implications for the U.S. political system.","1_q6dp9f8f||1_cqfb1b1k","Recorded in Ithaca, NY by Cornell University., Lecture, October 30, 1984.||60 minutes","http://hdl.handle.net/1813/43394",,"en_US","3601073","Politics, Practical||Social change||United States--Politics and government",,"Can social change be achieved through the United States' political system?","Sound"
"44583","1813/42947","Said, Edward W.","2/6/1986","Said examines the intertwined relationship between history, culture, and imperialism.","1_y5jrscu7","Recorded in Ithaca, NY by Cornell University., Lecture, February 6, 1986.||85 minutes","http://hdl.handle.net/1813/43424",,"en_US","3600716","Culture||Imperialism","Culture and imperialism.|Messenger lectures.","Culture and imperialism: overlapping territories, intertwined histories","Sound"
"44577","1813/42947","Pendleton, Clarence M., Jr","7/24/1985","Pendleton describes the problem of discrimination in the United States and suggests some solutions to it.","1_lvopsyhs||1_741q16sn","Recorded in Ithaca, NY by Cornell University., Speaker(s): Chairman of the U.S. Civil Rights Commission., Lecture, July 24, 1985.||75 minutes","http://hdl.handle.net/1813/43418",,"en_US","3600848","Civil rights--United States||Race discrimination--Law and legislation||Discrimination",,"Civil rights: where do we go from here?","Sound"
"44613","1813/42947","Kahane, Meir","11/9/1987","Kahane tells stories of Jews being killed in Israel, stories which he claims are never heard in the popular press. He speaks of a contradiction between zionism and Western democracy noting that the development of a Jewish state necessitates a locale with a majority of Jews. This, he says, is contrary to democracy which relies on numerical superiority to define the majority.","1_n7aco6z2||1_qcb3zv3k","Recorded in Ithaca, NY by Cornell University., Sponsored by: Jewish Awareness Network,Cornell Political Forum., Speaker(s): Member of the Israeli Knesset., Lecture, November 9, 1987.||111 minutes","http://hdl.handle.net/1813/43451",,"en_US","3600492","Zionism||Jews--Territorialism||Israel--Foreign relations",,"Meir Kahane speaks at Cornell","Sound"
"44568","1813/42947","Culler, Jonathan D.||Mohanty, Satya P. (Satya Prakash), 1954-","3/16/1985","Culler discusses Habermas' notion of communication and literary principles and his study of language in its relation to action. Mohanty serves as discussant.","1_pn3hvp5o","Recorded in Ithaca, NY by Cornell University., Sponsored by: German Literature, Department of,Women's Studies Program., Lecture, March 16, 1985.||75 minutes","http://hdl.handle.net/1813/43409",,"en_US","3600944","Habermas, Jürgen||German literature--20th century||Frankfurt school of sociology||Language and languages 1900 - 1999","Rationality and modern society.","Communicative competence and normative force","Sound"
"44570","1813/42947","Williams, L. Pearce, 1927-2015||Burak, David, 1945-","3/19/1985","Williams and Burak discuss the topic of student activism and political orientation of Cornell students at the present as compared to the 1960's.","1_yd1jbguc||1_9jmq5cy1","Recorded in Ithaca, NY by Cornell University., Lecture, March 19, 1985.||86 minutes","http://hdl.handle.net/1813/43411",,"en_US","3600936","Cornell University--History||Youth--Political activity||Student movements||Students--Political activity",,"Cornell 1969-1985: liberalism to conservatism?","Sound"
"44584","1813/42947","Said, Edward W.","2/7/1986","Said describes the imperialist vision as it is manifested in culture, especialy in literature.","1_wj75w88l||1_5y1zou4j","Recorded in Ithaca, NY by Cornell University., Lecture, February 7, 1986.||90 minutes","http://hdl.handle.net/1813/43425",,"en_US","3600511","Culture||Imperialism||British literature","Culture and imperialism.|Messenger lectures.","Culture and imperialism: consolidated vision","Sound"
"44549","1813/42947","Certeau, Michel de","10/10/1984","de Certeau discusses the criteria necessary for recognizing mystical texts as such and suggests ways in which mystical texts may be analyzed.","1_ch8muk1o||1_5yim92rb||1_pcr4mr05||1_qydv6vfe","Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Lecture, October 10, 1984.||105 minutes","http://hdl.handle.net/1813/43390",,"en_US","3601148","Mysticism in literature||Literature--History and criticism||Spanish literature--Classical period, 1500-1700||French literature--16th and 17th centuries 1500 - 1700",,"Sixteenth and seventeenth century Spanish and French mysticism, part 5","Sound"
"44586","1813/42947","Said, Edward W.","2/11/1986","Said explains the history, current perspective, and impact of colonialism and imperialism.","1_grzgwz0j||1_t9fawh2l","Recorded in Ithaca, NY by Cornell University., Lecture, February 11, 1986.||85 minutes","http://hdl.handle.net/1813/43427",,"en_US","3600509","Imperialism||World politics||Great Britain--Foreign relations","Culture and imperialism.|Messenger lectures.","Culture and imperialism: domination, future-style","Sound"
"44585","1813/42947","Said, Edward W.","2/10/1986","Said describes the political and cultural subjugation of non-Western culture and explains changes in the nature of imperialism.","1_rl1tev1r||1_7cwo4das","Recorded in Ithaca, NY by Cornell University., Lecture, February 10, 1986.||60 minutes","http://hdl.handle.net/1813/43426",,"en_US","3600510","Culture||Imperialism||British literature||Great Britain--Foreign relations","Culture and imperialism.|Messenger lectures.","Culture and imperialism: opposition and resistance","Sound"
"44609","1813/42947","O'Hara, Maureen||Seznec, Alain||Mermin, N. David||Randel, Don Michael","10/24/1987","The three speakers discussed the need for modifications within the various libraries on campus.","1_7fahk8ue||1_2h34l14k","Recorded in Ithaca, NY by Cornell University., Sponsored by: University Library., Speaker(s): Seznec acts as moderator., Panel, October 24, 1987.||55 minutes","http://hdl.handle.net/1813/43447",,"en_US","3600525","Cornell University--Libraries||Academic libraries--Aims and objectives||Academic libraries--Self-evaluation",,"Database or cultural treasury -- the crucial balance, Cornell University Libraries in the year 2000","Sound"
"44588","1813/42947","Randel, Don Michael","2/19/1986","Randel explains how musicologists define Western art music and mentions some of the problems scholars have with music definition.","1_wq6a4j3e||1_wooakn33","Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Lecture, February 19, 1986.||78 minutes","http://hdl.handle.net/1813/43429",,"en_US","3600512","Music--Terminology||Music||Musicology--Periodicals",,"Defining music","Sound"
"44572","1813/42947","Welty, Eudora, 1909-2001","3/27/1985","Welty reads her short story, The Wide Net.","1_1b7n8g9v||1_hknzm402","Recorded in Ithaca, NY by Cornell University., Sponsored by: Andrew D. White Professors-At-Large Program., Speaker(s): Well-known author., Reading, March 27, 1985.||43 minutes","http://hdl.handle.net/1813/43413",,"en_US","3604609","Welty, Eudora, 1909-2001||Fiction--20th century||Prose literature 1900 - 1999","Andrew D. White Professors-At-Large lectures.","Eudora Welty reads her short story The Wide Net","Sound"
"44607","1813/42947","Otto, Christian","10/18/1987","Otto addresses the relationship between fascism and architecture, focusing on the single case study of the 1927 Stuttgart architectural exhibition. He suggests that architecture held an obsessive importance for the Nazis.","1_juoofz79||1_kiawmmps","Recorded in Ithaca, NY by Cornell University., Sponsored by: German Literature, Department of,Society for the Humanities., Speaker(s): Professor of architecture, Cornell., Lecture, October 18, 1987.||71 minutes","http://hdl.handle.net/1813/43446",,"en_US","3600526","Architecture--Germany||Architecture and society||National socialism||Fascism||Germany--Politics and government--1933-1945 1933 - 1945","Fascism and German culture.","Fascism and architecture","Sound"
"44557","1813/42947","Socolow, Sanford","11/7/1984","Socolow chronicles the history of 60 Minutes.","1_6a4dug5r||1_1l313num","Recorded in Ithaca, NY by Cornell University., Sponsored by: Sigma Delta Chi,Cornell Daily Sun,The Society of Professional Journalists., Lecture, November 7, 1984.||55 minutes","http://hdl.handle.net/1813/43398",,"en_US","3601102","Television programs--Reviews||Documentary television programs||Television broadcasting of news",,"Talk on what makes 60 Minutes tick","Sound"
"44564","1813/42947","Sheerman, Barry","2/19/1985","Sheerman discusses the British parliament, its history as it relates to the Labour party, and its possibilities for the future.","1_5gwabvta||1_pis8lrdj","Recorded in Ithaca, NY by Cornell University., Sponsored by: Western Societies Program., Speaker(s): Sheerman is a British politician., Lecture, February 19, 1985.||63 minutes","http://hdl.handle.net/1813/43405",,"en_US","3600721","1979 - 1997",,"Has the Labour Party a future in British politics?","Sound"
"44562","1813/42947","LaCapra, Dominick, 1939-","11/28/1984","LaCapra describes the relationship of the novel to history and briefly chronicles intellectual history, interpreting and defining the novel through its relation to history.","1_ecevtj8a||1_qbbx7qud","Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Speaker(s): LaCapra is director of the Society for the Humanities and is a professor in the History department, Cornell., Lecture, November 28, 1984.||75 minutes","http://hdl.handle.net/1813/43403",,"en_US","3600742","Nonfiction novel||Intellectual life--History||History--Miscellanea",,"History and the novel","Sound"
"44606","1813/42947","Salo, Arvo","10/6/1987","Salo gives an overview of Finland's westernization.","1_kdtas6ka||1_zjx4u6hh","Recorded in Ithaca, NY by Cornell University., Sponsored by: Western Societies Program., Speaker(s): Playwright, Former Minister of Culture in Finland, Former head of the Finnish Social Democratic Party., Lecture, October 6, 1987.||90 minutes","http://hdl.handle.net/1813/43445",,"en_US","3600701","Finland--Economic conditions--1945-1981||Finland--Foreign relations--1945-||Finland--History--1939-1945||Finalnd--Politics and government--1945- Since 1939",,"How Finland went western","Sound"
"44605","1813/42947","Salo, Arvo","9/25/1987","Salo discusses the state supported art system in Finland.","1_p7dlp2qm||1_orrvpeom","Recorded in Ithaca, NY by Cornell University., Sponsored by: Western Societies Program., Speaker(s): Mellon Visiting Fellow of the Western Societies Program, Finnish journalist, dramatist, poet, and politician, Artist-Professor at the University of Finland., Lecture, September 25, 1987.||77 minutes","http://hdl.handle.net/1813/43444",,"en_US","3600415","Arts, Finnish||Arts--Management--Finland",,"The autonomy of the arts and the administration of culture","Sound"
"44555","1813/42947","Weisskopf, Victor Frederick, 1908-2002","10/31/1984","Weisskopf discusses nuclear war, the cold war, and the present realities of the Strategic Defense Initiative (SDI). He describes the work of antinuclear activists and their influence on public policy.","1_bm8hhf9d||1_tj7zm5ai","Recorded in Ithaca, NY by Cornell University., Sponsored by: Center for World Community,Interreligious International Ministries Committee (IRIM)., Lecture, October 31, 1984.||70 minutes","http://hdl.handle.net/1813/43396",,"en_US","3601076","Antinuclear movement||Nuclear disarmament","America and the world community.","How to avoid nuclear war","Sound"
"44599","1813/42947","Ḥabībī, Imīl.","10/29/1986","Habiby traces the history of a systematic policy of the State of Israel from 1948 to the present of eliminating Arabs from Israel.","1_aef6tegq||1_drhyla14||1_1jlrcwzd","Recorded in Ithaca, NY by Cornell University., Sponsored by: Palestine Human Rights Committee (PHRC)., Speaker(s): Habiby is a founding member of the Palestinian Communist Party and editor- in-chief of the largest Arabic paper in Israel., Lecture, October 29, 1986.||100 minutes",,"http://hdl.handle.net/1813/43438","en_US","3600211",,,"The Palestinian as Israeli citizen","Sound"
"44546","1813/42947","Škvorecký, Josef, 1924-2012","10/4/1984","Skovorecky discusses the Communist repression of the Czech government, especially in the literary and musical fields, since 1968. Particular attention is paid to the development of jazz and punk rock music in Czechoslovakia, the necessary ideological compromises with the present regime, the domestic sources of information on music composed in Czechoslovakia, and the realities of culture control by the authorities in this area.","1_ubvnejvn","Recorded in Ithaca, NY by Cornell University., Sponsored by: Russian Literature, Department of., Lecture, October 4, 1984.||61 minutes","http://hdl.handle.net/1813/43387",,"en_US","3601138","Music--Czechoslovakia||Social history--Czechoslovakia||Jazz||Politics and literature||Czechoslovakia--Social conditions--1945-1992 1945 - 1992",,"Jazz and literary culture in Czechoslovakia today","Sound"
"44544","1813/42947","Ikiriye, Akira","9/28/1984","Ikiriye discusses the increasing influence of Western culture on Japanese society.","1_4d3lcq1h","Recorded in Ithaca, NY by Cornell University., Sponsored by: China- Japan Program., Lecture, September 28, 1984.||39 minutes","http://hdl.handle.net/1813/43385",,"en_US","3601203","Japan--Social conditions||Japan--Occidental influences--20th century 1900 - 1999",,"The westernization of Japan","Sound"
"44591","1813/42947","Vlastos, Gregory","2/25/1986","Vlastos claims that there are two different Socrates, one which might be called historical and the other which might be called philosophical. He asserts that the second Socrates is prevalent in Plato's writings.","1_o005ee4f||1_v6j53ktr","Recorded in Ithaca, NY by Cornell University., Sponsored by: Classics, Department of., Lecture, February 25, 1986.||70 minutes","http://hdl.handle.net/1813/43432",,"en_US","3600496","Socrates||Plato||Philosophy, Ancient","Cornell studies in classical philology. Townsend lectures.","Socrates' contra Socrates' in Plato","Sound"
"44543","1813/42947","Certeau, Michel de","9/26/1984","In his third lecture of the series, Certeau discusses higher literature, its mystical content, and interpretations of it in 17th and 18th century Europe.","1_pfu7awma||1_nz5umtqu","Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Lecture, September 26, 1984.||130 minutes","http://hdl.handle.net/1813/43384",,"en_US","3601227","Mysticism||Mysticism in literature||Spain--History--16th century||Spain--History--17th century||France--History--16th century||France--History--17th century||1500 - 1699",,"Sixteenth and seventeenth century Spanish and French mysticism, part 3","Sound"
"44604","1813/42947","Lowi, Theodore J.","7/8/1987","Lowi argues that deception and bad policy making in the Executive Branch arise from the cold war culture and the plebiscitory presidency.","1_9ovqhy8v||1_saeh8fdu","Recorded in Ithaca, NY by Cornell University., Sponsored by: Summer Session, Extramural Study, and Related Programs, Division of., Speaker(s): Professor of Government, Cornell University., Lecture, July 8, 1987.||86 minutes","http://hdl.handle.net/1813/43443",,"en_US","3600289",,,"What is there about the White House that makes its occupants want to do bad things?","Sound"
"44598","1813/42947","Kishwar, Madhu","7/31/1986","Kishwar describes the goals and works of Manushi, an Indian journal about women and society, and answers questions concerning civil rights problems in India.","1_nog0yeby||1_63060uiq||1_brucm4bu","Recorded in Ithaca, NY by Cornell University., Sponsored by: Cornell India Association., Speaker(s): Editor of Manushi., Lecture, July 31, 1986.||100 minutes","http://hdl.handle.net/1813/43437",,"en_US","3600213","Women's rights--India||Minorities--India||India--Social conditions",,"The women's movement in India","Sound"
"44603","1813/42947","Jordanova, L. J.","5/1/1987","Jordanova formulates a correlation between the unveiling of women's bodies and actions in art, science and medicine.","1_brez3g6p||1_vjj07x2p","Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities,Women's Studies Program., Lecture, May 1, 1987.||65 minutes","http://hdl.handle.net/1813/43442",,"en_US","3600250","Feminine beauty (Aesthetics)||Women in art","Women, science, and the body: discourses and representations.","Nature unveiling before science: images of women and knowledge","Sound"
"44596","1813/42947","Rodríguez, Alí","4/7/1986","Using a translator, Rodriquez describes his own experiences of the current chaotic situation in El Salvador.","1_d5dgspna||1_mpt7pr9i","Recorded in Ithaca, NY by Cornell University., Sponsored by: Education Against Oppression., Speaker(s): Rodriquez was a trade unionist forced to flee El Salvador., Lecture, April 7, 1986.||80 minutes","http://hdl.handle.net/1813/43436",,"en_US","3600236",,,"The situation in El Salvador","Sound"
