100,245,511,505,700,518,IsBarnes,Location,formatted_date,formatted_title,Original Folder Name,New Folder Name
,00$aStudent chamber music recital.,0\$aVarious performers.,"00$t""Dolly"" suite for piano four-hands, op. 56.$tBerceuse ;$tMi-a-ou ;$tLe jardin de Dolly ;$tKitty-valse ;$tTendresse ;$tLe pas espagnol /$rGabriel Faur{acute}e (Daniel Anstasio and Damien Mahiet, piano) --$tFrom Fantasie in C major, op. 17 :$tM{uml}a{C7}ig: durchaus energisch /$rRobert Schumann (Daniel Anastasio, piano) --$tFrom Piano trio in B major, op. 8 :$tAllegro con brio ;$tScherzo /$rJohannes Brahms (Stephanie Chu, violin ; Jonathan Auerbach, cello ; Miri Yampolsky, piano).",,"\\$oRecorded$d2010 April 27,$pBarnes Hall, Cornell University.",TRUE,Barnes,4/27/10 0:00,Student chamber music recital.,20100427_Student_Chamber_Music_Recital,
,"00$aGuest ensemble, Janus Trio.","0\$aJanus Trio (Amanda Baker, flute ; Beth Meyers, viola ; Nuiko Wadden, harp).",00$tKeymaster /$rCaleb Burhans --$tDrawings for Meyoko /$rAngelica Negron --$tBeware of /$rAnna Clyne --$tGossamer albatross /$rCameron Britt --$tNumina /$rKevin Ernste --$tAnd then I knew 'twas wind /$rToru Takemitsu --$tNew gates /$rKaija Saariaho.,"1\$aBaker, Amanda,$eperformer.;1\$aMeyers, Beth,$eperformer.;1\$aWadden, Nuiko,$eperformer.","\\$oRecorded$d2010 April 28,$pBarnes Hall, Cornell University.",TRUE,Barnes,4/28/10 0:00,"Guest ensemble, Janus Trio.",,
,"00$aChristina Bratterud, fortepiano, Dorian Bandy, baroque viola, Mathieu Langlois, baroque flute.","0\$aChristina Bratterud, fortepiano ; Dorian Bandy, baroque viola ; Mathieu Langlois, baroque flute.","00$tFrom Sonata no. 5 in E-flat major (1787 or later) :$tAllegro vivace ;$tPoco adagio /$rJohann Vanhal --$tFrom Sonata in B-flat major (ca. 1780) :$tAndante moderato ;$tAllegro /$rCarl Stamitz --$tQuartet in A minor, H. 537, Wq. 93 : (1788).$tAndantino ;$tLargo e sostenuto ;$tAllegro assai /$rCarl Phillip Emanuel Bach --$tFrom 24 etudes, op. 125 (1833) :$tNo. 9 in E major: allegro ;$tNo. 17 in A-flat major: allegro brillante ;$tNo. 23 in F major: vivace ;$tNo. 22 in B-flat minor: adagio /$rJohann Hummel --$tSonata in G major, D. 894 (1826).$tMolto moderato e cantabile ;$tAndante ;$tMenuetto: allegro moderato ;$tAllegretto /$rFranz Schubert.","1\$aBratterund, Christina,$eperformer.;1\$aBandy, Dorian Komanoff,$eperformer.;1\$aLanglois, Mathieu,$eperformer.","\\$oRecorded$d2010 April 29,$pBarnes Hall, Cornell University.",TRUE,Barnes,4/29/10 0:00,"Christina Bratterud, fortepiano, Dorian Bandy, baroque viola, Mathieu Langlois, baroque flute.",20100429_Fortepiano,
,00$aTranscending boundaries :$bfinding new music through Bach and the violin.,"0\$aJoseph Lin, violin ; Cornell Chamber Orchestra ; Chris Younghoon Kim, conductor.","00$tPartita no. 3 in E major for violin solo, BWV 1006.$tPreludio ;$tLoure ;$tGavotte en rondeau ;$tMenuet I & II ;$tBourr{acute}ee ;$tGigue /$rJohann Sebastian Bach --$tStargazing, for violin and electronics /$rTakuma Itoh --$tFor a faded mind, for violin and chamber orchestra /$rJesse Benjamin Jones --$tViolin concert no. 2 in E major, BWV 1042.$tAllegro ;$tAdagio ;$tAllegro assai /$rBach.","1\$aLin, Joseph,$eperformer.;1\$aKim, Chris Younghoon,$eperformer.","\\$oRecorded$d2010 May 1,$pBarnes Hall, Cornell University.",TRUE,Barnes,5/1/10 0:00,Transcending boundaries: finding new music through Bach and the violin.,20100501_Transcending_Boundaries,
,00$aCornell Symphony Orchestra.,"0\$aCornell Symphony Orchestra ; Chris Younghoon Kim, conductor.","00$tIcarus dreamt /$rEric Nathan --$tFrancesca da Rimini, op. 32 /$rPiotr Ilyich Tchaikovsky --$tDaphnis et Chlo{acute}e: suite no. 2.$tLever du jour ;$tPantomime ;$tDanse generale /$rMaurice Ravel.","1\$aKim, Chris Younghoon,$econductor.","\\$oRecorded$d2010 May 2,$pBailey Hall, Cornell University.",FALSE,Bailey,5/2/10 0:00,Cornell Symphony Orchestra.,,
,00$aStudio 342 :$bvoice students of Judith Kellock.,"0\$aVarious performers ; Holland Jancaitis and Chi-Chen Wu, piansts.","00$tKomm s{uml}usser Tod, sel'ge Ruh!, BWV 478$r(Carolyn Rogers, soprano) ;$tFrom Mache dich, mein Geist, bereit, BWV 115 :$tBete aber auch dabei$r(Liza Sobel, soprano) ;$tBist du bei mir, BWV 508$r(Carolyn Rogers, soprano ; Christo Nicholoudis, tenor) ;$tFrom Johannespassion, BWV 245 :$tIch folge dir gleichfalls$r(Sarah Ajaeb, soprano) ;$tFrom Ich hatte viel bek{uml}ummernis, BWV 21 :$tSeufzer, Tr{uml}anen$r(Rosa von Gleichen, soprano ; Evan Cortens, oboe) ;$tFrom Mein Herze schwimmt im Blut, BWV 199 :$tStumme Seufzer, stille Klagen$r(Julia Adolphe, soprano ; Evan Cortens, oboe) ;$tFrom Was Gott tut, das ist wohlgetan, BWV 100 :$tAria$r(Aaron Sprecher, bass-baritone) ;$tFrom Wachet auf, ruft uns die Stimme, BWV 140 :$tMein Freund ist mein$r(Judith Kellock, soprano ; John Chambers, baritone) ;$tFrom Non sa sia dolore, BWV 209 :$tRecitative: non sa che sia dolore ;$tAria: parti pur e con dolore$r(Kristina Brooks, soprano) ;$tGedenke doch, mein Geist, zur{uml}ucke, BWV 509$r(Erin Goers, soprano) ;$tFrom Jauchzet Gott in allen Landen, BWV 51 :$tRecitative: wir beten zu dem Tempel an ;$tAria: h{uml}ochster, mache deine G{uml}ute ;$tFantasy/fugue: sei Lob und Preis mit Ehren, Alleluja /$rJohann Sebastian Bach (Sarah Robinson, soprano ; Eric Nathan, trumpet) --$tFrom Elijah :$tRecitative: ye people, rend your hearts /$rFelix Mendelssohn (Daniel Schug, tenor) --$tFrom Dichterliebe, op. 48 (Heinrich Heine) /$rRobert Schumann (John Chambers, baritone ; Annabell Suh, piano) --$tVaga luna, che inargenti /$rVincenzo Bellini (Erin Goers, soprano) --$tFrom Rinaldo :$tLascia ch'io pianga /$rGeorge Frideric Handel (Christo Nicholoudis, tenor) --$tIf only she /$rJulia Adolphe (Julia Adolphe, soprano) --$tFleeting fantasy ;$tSleepless in the night /$rLiza Sobel, soprano --$tFrom Don Pasquale :$tSo anch'io la virt{grave}u magica /$rGaetano Donizetti (Norina: Rosa von Gleichen) --$tFrom Me and Juliet :$tNo other love /$rRichard Rodgers ; Oscar Hammerstein (John Chambers, baritone).","1\$aKellock, Judith.;1\$aJancaitis, Holland,$eperformer.;1\$aWu, Chi-Chen,$eperformer.","\\$oRecorded$d2010 May 2,$pBarnes Hall, Cornell University.",TRUE,Barnes,5/2/10 0:00,Studio 342: voice students of Judith Kellock.,20100502_Voice_Students_of_Judith_Kellock,
,00$aStudent chamber music recital.,0\$aVarious performers.,"00$tFrom In the mist (1912) :$tPresto /$rLeo{caron}s Jan{grave}a{caron}cek --$tFrom Sonata for violin and piano in A major, op. 100 :$tAllegro amabile ;$tAndante tranquilo--vivace /$rJohannes Brahms (Angela Early, violin ; Damien Mahiet, piano) --$tPiano trio in E-flat major, op. 70, no. 2.$tPoco sostenuto--allegro, ma non troppo ;$tAllegretto ;$tAllegretto, ma non troppo ;$tFinale--allegro /$rLudwig van Beethoven (Stephanie Chu, violin ; Kathleen Agres, cello ; Daniel Anastasio, piano).",,"\\$oRecorded$d2010 May 3,$pBarnes Hall, Cornell University.",TRUE,Barnes,5/3/10 0:00,Student chamber music recital.,20100503_Student_Chamber_Music_Recital,
,00$aCornell Chamber Singers.,"0\$aCornell Chamber Singers ; Holland Jancaitis, conductor, piano ; with seniors from Judith Kellock's studio ; William Cowdery, harpsichord.","00$tEs ist erschienen die heilsame Gnade Gottes, SWV 371 /$rHeinrich Sch{uml}utz --$tFrom Ich hatte viel bek{uml}ummernis, BWV :$tSeufzer, Tr{uml}anen /$rJohann Sebastian Bach (Rosa von Gleichen, soprano ; Evan Cortens, oboe) --$tVerleih uns Frieden genadiglich, SWV 372 ;$tGib unsern F{uml}ursten und aller Obrigkeit, SWV 373 /$rSch{uml}utz --$tFrom Wuthering heights :$tAria: Nellie, do you never dream strange dreams? /$rCarlisle Floyd (Rosa von Gleichen, soprano) --$tUnser keiner lebet ihm selber, SWV 374 /$rSch{uml}utz --$tFrom Die Entf{uml}uhrung aus dem Serail :$tDurch Z{uml}artlichkeit und Schmeicheln /$rWolfgang Amadeus Mozart (Sarah Robinson, soprano) --$tHerr, auf dich traue ich, SWV 377 /$rSch{uml}utz --$tMuszelka /$rWitold Lutos{lstrok}awski (Julia Adolphe, soprano) --$tFrom Mein Herze schwimmt im Blut, BWV 199 :$tRecitative: Mein Herze schwimmt im Blut ;$tAria: Stumme Seufzer, stille Klagen /$rBach (Julia Adolphe, soprano ; Evan Cortens, oboe) --$tDie mit Tr{uml}anen s{uml}aen, SWV 378 ;$tSo fahr ich hin zu Jesu Christ, SWV 379 /$rSch{uml}utz --$tFrom Jauchzet Gott in allen Landen, BWV 51 :$tAria: Jauchzet Gott in allen Landen /$rBach (Sarah Robinson, soprano ; Eric Nathan, trumpet).","1\$aJancaitis, Holland,$econductor.;1\$aKellock, Judith.;1\$aCowdery, William,$eperformer.","\\$oRecorded$d2010 May 4,$pBarnes Hall, Cornell University.",TRUE,Barnes,5/4/10 0:00,Cornell Chamber Singers.,20100504_Cornell_Chamber_Singers,
,"00$aLes Petits Violons, Dorian Komanoff Bandy, director :$bstile italiano goes abroad.","0\$aDorian Komanoff Bandy, director.","00$tSonata 10 {grave}a for two orchestras /$rMassimiliano Neri --$tBattalia {grave}a 10.$tSonata: the merry gathering of the musketeers ;$tThe drunken society of common humor ;$tThe duel ;$tThe march ;$t(Presto) ;$tAria ;$tThe battle ;$tLament of the wounded /$rHeinrich Ignaz Franz von Biber --$tFrom Alceste:$tEnjoy the sweet Elysian grove /$rGeorge Frideric Handel (Zachary Wadsworth, tenor) --$tSonata in C minor.$tLargo--allegro /$rJohann Georg Pisendel --$tFrom L'allegro, il penseroso, ed il moderato :$tAs steals the morn /$rHandel (Sarah Robinson, soprano ; Zachary Wadsworth, tenor ; Mathieu Langlois, traverso ; Lee Goodhew Romm, bassoon) --$tFrom Sinfonia II {grave}a 5 in A major, op. 2, no. 5 :$tAdagio ;$tAllegro /$rTomaso Giovanni Albinoni --$tGrand concerto in 7 parts, op. 6, no. 2.$tAndante larghetto ;$tAllegro ;$tLargo ;$tAllegro, ma non troppo /$rHandel (Dorian Bandy and Anaar Desai-Stevens, violins ; Kate Wilkinson, cello).","1\$aBandy, Dorian Komanoff,$eperformer.","\\$oRecorded$d2010 May 5,$pBarnes Hall, Cornell University.",TRUE,Barnes,5/5/10 0:00,"Les Petits Violons, Dorian Komanoff Bandy, director: stile italiano goes abroad.",20100505_Les_Petits_Violons,
,"00$aGuest Ensemble, Ensemble Paris Lodron.",0\$aEnsemble Paris Lodron.,"00$tPrince of Denmark's march /$rJeremiah Clarke --$tA hornpype /$rHugh Aston --$tWhen I'm sixty-four /$rPaul McCartney --$tThe saints' hallelujah /$rGeorge Frideric Handel/trad. --$tFrom Suite Americana no. 1 :$tVals peruano ;$tRagtime /$rEnrique Crespo --$tVariations on Carnival of Venice /$rJean-Baptiste Arban --$tSeiend /$rKevin Ernste --$tSalzburger Festspielfanfare /$rJoseph Messner --$tFrom Sinfonia pastorella :$tPresto /$rLeopold Mozart --$tFrom Die Zauberfl{uml}ote :$tDer H{uml}olle Rache kocht in meinem Herzen /$rWolfgang Amadeus Mozart --$tVolkstanz Einlage /$rtraditional --$tMedley from The sound of music /$rRichard Rodgers/Oscar Hammerstein --$tPerpetuum mobile, op. 257 ;$tPolka schnell, op. 324 /$rJohann Strauss --$tMedley from West side story /$rLeonard Bernstein.",,"\\$oRecorded$d2010 May 6,$pBarnes Hall, Cornell University.",TRUE,Barnes,5/6/10 0:00,"Guest Ensemble, Ensemble Paris Lodron.",20100506_Ensemble_Paris_Lodron,
,00$aViolin students of Joseph Lin.,"0\$aVarious performers ; Chi-Chen Wu, piano.","00$tConcerto in C major, in the style of Vivaldi.$tAllegro energico, ma non troppo /$rFritz Kreisler (Aaron Wexler, with Ms. Wu) --$tFrom Partita in E major, BWV 1006 :$tPreludio /$rJohann Sebastian Bach (Joan Kim) --$tFrom Sonatina for violin and viola :$tD{acute}ecid{acute}e /$rDarius Milhaud (Katie Bobroske, with Joseph Lin) --$tFrom Concerto no. 1 in G minor, op. 26 :$tFinale: allegro energico /$rMax Bruch (Benjamin Ou-Yang, with Ms. Wu) --$tSonata no. 4.$tAllemanda ;$tSarabande ;$tFinale /$rEug{grave}ene Ysa{uml}ye (Bee-Seon Keum) --$tFrom Concerto in D major, op. 77 :$tAdagio /$rJohannes Brahms (Carol Tsang, with Ms. Wu) --$tFrom Sonata in A major :$tAllegro /$rC{acute}esar Franck (Thomas Collum, with Ms. Wu).","1\$aLin, Joseph.;1\$aWu, Chi-Chen,$eperformer.","\\$oRecorded$d2010 May 8,$pBarnes Hall, Cornell University.",TRUE,Barnes,5/8/10 0:00,Violin students of Joseph Lin.,20100508_Violin_Students,
,00$aContrapunkt! :$bnew music by undergraduate composers.,0\$aVarious performers.,"00$tJanuary /$rZachary Romeo (Zachary Romeo, piano) --$tMusings in desh /$rPallavi Basu (Pallavi Basu, voice ; Maurice Chammah, violin ; Lucas Ashby, tabla) --$tUntitled /$rMiriam Nussbaum (Miriam Nussbaum, flute ; Vivian Li, piano) --$tWhite flag /$rJulia Adolphe (Navin Sivakumar, cello) --$tForgotten world /$rGarrett Biedermann (Mark Neville, Josh Zimmer, Hank Currey, Jeff Dunn, Alex Knutrud, Eddie Streenstra, tenor trombones ; Steve Cooney, Mike Nave, bass trombone ; Jon Musgrave, conductor) --$tPrelude /$rAndrew Bunyea (Andrew Bunyea, piano) --$tI wish it were T. S. Eliot (Julia Adolphe) /$rAdolphe (Zachary Wadsworth, tenor ; Daniel Anastasio, piano) --$tIf only she (Adolphe) /$rAdolphe (Julia Adolphe, mezzo-soprano ; Daniel Anastasio, piano) --$tWaves /$rKadeem Gilbert (Stephanie Quach, piano) --$tOn the dotted line (Carly Hodes) /$rCarly Hodes (John Chambers, baritone ; Blaise Bryski, piano) --$tSong cycle for voice, string sextet, and flute (Liza Sobel).$tFleeting fascination ;$tA way of not knowing ;$tOminous lullaby ;$tSleepless in the night /$rLiza Sobel (Liza Sobel, soprano ; Ellen Kogurt, Kevin Harper, violin ; Zachary Slack, Lora Ulmer, viola ; Tyler Borden, Lawren Wooten, cello ; Miriam Nussbaum, flute ; Andrew Mattfeld, conductor).",,"\\$oRecorded$d2010 May 9,$pBarnes Hall, Cornell University.",TRUE,Barnes,5/9/10 0:00,Contrapunkt!: new music by undergraduate composers.,20100509_Contrapunkt,
,00$aStudent chamber music recital.,0\$aVarious performers.,"00$tFrom Five bagatelles for clarinet and piano, op. 23 :$tPrelude: allegro deciso ;$tRomance: andante tranquillo /$rGerard Finzi (Jason Wright, clarinet ; Jessica Ye, piano) --$tFrom Le tombeau de Couperin :$tPrelude ;$tForlane ;$tMenuet ;$tRigaudon /$rMaurice Ravel (Hu Fu, piano) --$tFrom Dichterliebe, op. 48 :$tIm wundersch{uml}onen Monat Mai ;$tAus meinen Tr{uml}anen sprie{C7}en ;$tDie Rose, die Lilie, die Taube ;$tWenn ich in deine Augen seh' ;$tIch will meine Seele tauchen ;$tIm Rhein, im heiligen Strome ;$tIch grolle nicht ;$tUnd w{uml}u{C7}ten's die Blumen ;$tDas ist ein Fl{uml}oten und Geigen ;$tH{uml}or' ich das Liedchen klingen ;$tEin J{uml}ungling liebt ein M{uml}adchen ;$tAm leuchtenden Sommermorgen /$rRobert Schumann (John Chamber, baritone ; Annabell Suh, piano) --$tFrom Sonata in E minor, op. 90 :$tMit Lebhaftigkeit und durchaus mit Empfindung und Ausdruck /$rLudwig van Beethoven --$tFrom Grandes {acute}etudes de Paganini, S. 141 :$tLa campanella /$rFranz Liszt (Solveig Imsdahl, piano) --$tFrom Clarinet quintet in B minor, op. 115 :$tAllegro /$rJohannes Brahms (Katerina Jeng and Angela Early, violins ; Ruth Hannah de Kleer, viola ; Lawren Wooten, cello ; Jonathan Felbinger, clarinet) --$tPiano trio in B-flat major, K. 502 :$tAllegro ;$tLarghetto ;$tAllegretto /$rWolfgang Amadeus Mozart (Solveig Imsdahl, piano ; Marit Imsdahl, violin; Navin Sivakumar, cello) --$tFrom Sonata for cello and piano in E minor, op. 38 :$tAllegro non troppo ;$tAllegretto quasi menuetto /$rBrahms (Adrianne Ngam, cello ; Luyuan Xing, piano) --$tPiano trio in B major, op. 8.$tAllegro con brio ;$tScherzo ;$tAdagio ;$tAllegro /$rBrahms (Stephanie Chu, violin ; Jonathan Auerbach, cello ; Miri Yampolsky, piano).",,"\\$oRecorded$d2010 May 10,$pBarnes Hall, Cornell University.",TRUE,Barnes,5/10/10 0:00,Student chamber music recital.,20100510_Student_Chamber_Music_Recital,
,00$aSenior recital.,"0\$aJohn Chambers, baritone ; with pianists Holland Jancaitis and Annabell Suh.","00$tFrom Le nozze di Figaro :$tHai gia vinta la causa! /$rWolfgang Amadeus Mozart --$tFrom Ezio :$tNasce al bosco /$rGeorge Frideric Handel --$tFrom The old maid and the thief :$tWhen the air sings of summer /$rGian Carlo Menotti (with Mr. Jancaitis) --$tFrom Dichterliebe, op. 48 :$tIm wundersch{uml}onen Monat Mai ;$tAus meinen Tr{uml}anen sprie{C7}en ;$tDie Rose, die Lilie, die Taube, die Sonne ;$tWenn ich in deine Augen seh' ;$tIch will meine Seele tauchen ;$tIm Rhein, im heiligen Strome ;$tIch grolle nicht ;$tUnd w{uml}u{C7}ten's die Blumen, die kleinen ;$tDas ist ein Fl{uml}oten und Geigen /$rRobert Schumann (with Ms. Suh) --$tWalt Whitman in 1989 /$rChris DeBlasio --$tI never knew /$rRicky Ian Gordon --$tFrom Me and Juliet :$tNo other love /$rRichard Rogers --$tFrom Closer than ever :$tIf I sing /$rDavid Shire (with Mr. Jancaitis).","1\$aChambers, John,$eperformer.;1\$aJancaitis, Holland,$eperformer.;1\$aSuh, Annabell,$eperformer.","\\$oRecorded$d2010 May 11,$pBarnes Hall, Cornell University.",TRUE,Barnes,5/11/10 0:00,Senior recital.,20100511_Senior_Recital,
"1\$aSchumann, Robert,$d1810-1856.","00$aSezi Seskir, fortepiano and James Barbato, tenor.","0\$aSezi Seskir, fortepiano ; James Barbato, tenor.","00$tDer arme Peter, op. 53, no. 3 --$tLieder aus dem Lyrisches Intermezzo von Heine.$tDein Angesicht, op. 127, no. 2 ;$tLehn' deine Wang', op. 142, no. 2 ;$tEs leuchtet meine Liebe, op. 127, no. 3 ;$tMein Wagen rollet langsam, op. 142, no. 4 --$tRomanzen und Balladen von Heine.$tBelsazar, op. 57 ;$tAbends am Strand, op. 45, no. 3 ;$tDie feindlichen Br{uml}uder, op. 49, no. 2 ;$tDie beiden Grenadiere, op. 49, no. 1 --$tLieder aus Zw{uml}olf Gedichte von Justinus Kerner, op. 35.$tLust der Sturmnach ;$tErstes Gr{uml}un ;$tSehnsucht nach der Waldgegend ;$tWanderung ;$tStille Liebe ;$tStirb, Lieb und Freud! --$tF{uml}unft Lieder, op. 40.$tM{uml}arzveilchen ;$tMuttertraum ;$tDer Soldat ;$tDer Spielmann ;$tVerratene Liebe.","1\$aSeskir, Sezi,$eperformer.;1\$aBarbato, James,$eperformer.","\\$oRecorded$d2010 May 12,$pBarnes Hall, Cornell University.",TRUE,Barnes,5/12/10 0:00,"Sezi Seskir, fortepiano and James Barbato, tenor.",20100512_Seskir_and_Barbato,
,"00$aGuest artist, Sandipji Burman, sitar, tabla, tabla tarang :$bcultural fusion.","0\$aSandipji Burman, sitar, tabla, tabla tarang ; Paul Merrill, trumpets ; Rick Huyge, saxophones ; John Stetch, piano ; Nicholas Walker, bass ; Steve Rechlen, drums.","00$tRosewood /$rWoody Shaw --$tI concentrate on you /$rCole Porter --$tSavella /$rJohn Stetch --$tMyantology /$rRichard Huyge --$tSandipji Burman, solo selections --$tEastern sunrise /$rPaul Merrill --$tAshley's fancy /$rHuyge --$tBalkan baker /$rStetch.","1\$aBurman, Sandipji,$eperformer.;1\$aMerrill, Paul,$d1972-$eperformer.;1\$aHuyge, Rick,$eperformer.;1\$aStetch, John,$eperformer.;1\$aWalker, Nicholas,$d1972-$eperformer.","\\$oRecorded$d2010 September 17,$pBarnes Hall, Cornell University.",TRUE,Barnes,9/17/10 0:00,"Guest artist, Sandipji Burman, sitar, tabla, tabla tarang: cultural fusion.",20100917_Burman,
,"00$aMike Cheng-Yu Lee, fortepiano.","0\$aMike Cheng-Yu Lee, fortepiano.","00$tSonata in C minor, K. 457.$tMolto allegro ;$tAdagio ;$tAllegro assai ;$tSonata in B-flat major, K. 333.$tAllegro ;$tAndante cantabile ;$tAllegretto grazioso /$rWolfgang Amadeus Mozart --$tPrelude and Fugue in C-sharp minor, from Well-Tempered Clavier, book I ;$tPartita no. 4 in D major, BWV 828.$tOuverture ;$tAllemande ;$tCourante ;$tAria ;$tSarabande ;$tMenuet ;$tGigue /$rJohann Sebastian Bach.","1\$aLee, Mike Cheng-Yu,$eperformer.","\\$oRecorded$d2010 September 23,$pBarnes Hall, Cornell University.",TRUE,Barnes,9/23/10 0:00,"Mike Cheng-Yu Lee, fortepiano.",20100923_Lee,
,00$aCornell University Percussion Ensemble.,"0\$aCornell University Percussion Ensemble (Tim Feeney, director ; Akshay Dhawan ; Ian Goldin ; Chris Heidelberger ; Cynthia Kathir).","00$tTwo pages : (1968) /$rPhilip Glass (Ian Goldin, Akshay Dhawan) --$tMarimbarosa : (2001) /$rCayenna Ponchione (Cayenna Ponchione, solo marimba) --$tFratres : (1977/2006) /$rArvo P{uml}art (Akshay Dhawan ; Ian Goldin ; Chris Heidelberger, Cynthia Kathir) --$tWorkers union : (1975) /$rLouis Andriessen (Tim Feeney, Ian Goldin, Chris Heidelberger, Cynthnia Kathir).","1\$aFeeney, Tim,$eperformer.;1\$aDhawan, Akshay,$eperformer.;1\$aGoldin, Ian,$eperformer.;1\$aHeidelberger, Chris,$eperformer.;1\$aKathir, Cynthia,$eperformer.","\\$oRecorded$d2010 October 3,$pBailey Hall, Cornell University.",FALSE,Bailey,10/3/10 0:00,Cornell University Percussion Ensemble.,,
,"00$aGuest artist, Jasmine Lin, violin.","0\$aJasmine Lin, violin; with Xak Bjerken and Miri Yampolsky, piano.","00$tSonata for violin and piano.$tAllegro vivo ;$tInterm{grave}ede: fantasque et l{acute}eger ; Finale: tr{grave}es anim{acute}e /$rClaude Debussy (with Mr. Bjerken) --$tSonata for piano and violin in G major, op. 96.$tAllegro moderato ;$tAdagio espressivo ;$tScherzo: allegro ;$tPoco allegretto /$rLudwig van Beethoven (with Ms. Yampolsky) --$tThe night of h's, from Jasmine Variations /$rThomas Oboe Lee --$tThe night of h's /$rDana Wilson (with Rebecca Lomnicky, violin ; Hannah de Kleer, viola ; Graeme Bailey, cello).","1\$aLin, Jasmine,$eperformer.;1\$aBjerken, Xak,$eperformer.;1\$aYampolsky, Miri,$eperformer.","\\$oRecorded$d2010 October 5,$pBarnes Hall, Cornell University.",TRUE,Barnes,10/5/10 0:00,"Guest artist, Jasmine Lin, violin.",20101005_Lin,
,"00$aThank you, Ithaca :$bJoan Niles Sears memorial concert.",0\$aVarious performers.,"00$tCuarteto de cuerdas No. 4 : (""Sinfon{acute}ias"") : (1996) /$rMario Lavista (Cuarteto Latinoamericano ; Sa{acute}ul Bitr{acute}an and Ar{acute}on Bitr{acute}an, violins ; Javier Montiel, viola ; Alvaro Bitr{acute}an, cello) --$tSelected piano works.$tAnger dance ;$tAeolian harp ;$tAdvertisement (third encore to Dynamic Motion) ;$tThe Banshee /$rHenry Cowell (Xak Bjerken, piano) --$tNell'ombra, nella luce, for string quartet : (1999-2000) /$rSteven Stucky (Cuarteto Latinoamericano) --$tSonata for clarinet and piano (2006).$tSalseado ;$tDelicado y expresivo ;$tEn{acute}ergico ;$tVeloz--a rondo /$rRoberto Sierra (Richard Faria, clarinet ; Xak Bjerken, piano) --$tFour, for tango : (1989) /$rAstor Piazzolla (Cuarteto Latinoamericano).",,"\\$oRecorded$d2010 October 11,$pBarnes Hall, Cornell University.",TRUE,Barnes,10/11/10 0:00,"Thank you, Ithaca: Joan Niles Sears memorial concert.",20101011_Sears_Memorial,
"1\$aSchumann, Robert,$d1810-1856.","10$aBlaise Bryski, piano.","0\$aBlaise Bryski, piano.","00$tKreisleriana :$top. 16.$t{uml}Au{C7}erst bewegt ;$tSehr innig und nicht zu rasch.$tIntermezzo I :$tSehr lebhaft ;$tIntermezzo II :$tEtwas bewegter ;$tSehr aufgeregt  ;$tSehr langsam ;$tSehr lebhaft ;$tSehr langsam--durchaus leise zu halten ;$tSehr rasch ;$tSchnell und spielen --$tFantasie in C major, op. 17.$tDurchaus phantastisch und leidenschaftlish vorzutragen ;$tMassig--durchaus energisch ;$tLangsam getragen--durchweg leise zu halten.","1\$aBryski, Blaise,$eperformer.","\\$oRecorded$d2010 October 24,$pBarnes Hall, Cornell University.",TRUE,Barnes,10/24/10 0:00,"Blaise Bryski, piano.",20101024_Bryski,
,00$aContrapunkt! :$bnew music by undergraduate composers.,0\$aVarious performers.,"00$tConstruction, for violin, vibraphone and piano /$rGreg Weisbrod (Will Moseson, violin ; Nicholas Jackson, vibraphone ; Daniel Anastasio, piano) --$tP1 /$rMiriam Nussbaum (Miriam Nussbaum, flute) --$tSonata in F minor /$rAndrew Bunyea (Ellen Kogut, violin ; Emily Choi, piano) --$tLe cauchemar = (""The nightmare"") /$rKeely Sarr (Katherine Casey, soprano ; Keely Sarr, piano) --$tMournful passacaglia ;$tEthereal whispers /$rLiza Sobel (Miriam Nussbaum, flute, piccolo ; Jamie Davis, oboe ; Terrance Griswold, clarinet, bass clarinet ; Dana Barrett, horn ; Noah Wolfinger, bassoon) --$tNight /$rKadeem J. Gilbert (Kelsey Piel, Laura Schwartz, violin ; Heather Williams, viola ; Gaelyn Ong, cello ; Tanapong Jiarathanakul, Jen Warmingham, flute ; Victoria McClean, Tyler Williams, clarinet ; Christine Muccianti, bass clarinet ; Kim Ferreira, bassoon ; John Flanagan, Susie Lai, horn ; William Milne, trumpet ; Chris Peratrovich, tuba ; Nicholas Jackson, timpani ; Marwan Sledge, conductor) --$tThree songs for tenor and piano (William Blake).$tThe fly ;$tThe tyger ;$tAh, sunflower! /$rGarrett Biedermann (Zachary Wadsworth, tenor ; Graeme Bailey, piano).",,"\\$oRecorded$d2010 November 7,$pBarnes Hall, Cornell University.",TRUE,Barnes,11/7/10 0:00,Contrapunkt!: new music by undergraduate composers.,20101107_Contrapunkt,
