Title,Date,Barcode,Part,Notes
Sage Chapel Christmas Program,2002 December 8,31924119826588,,
Sage Chapel Christmas Program,2002 December 9,31924119826596,,
String quartet readings,2002 December 9,31924119826604,1,
String quartet readings,2002 December 9,31924119826612,2,
Cornell Gamelan Ensemble,2002 December 11,31924119826620,,
"Jennifer Davison, soprano, Xak Bjerken, piano",2003 January 23,31924119826638,,
"Augustus Arnone, fortepiano, Elizabeth Lindau, harpsichord",2003 January 31,31924119826646,,
"Blaise Bryski, fortepiano",2003 February 3,31924119826653,,
"Lee Wright, organ",2003 February 7,31924119826661,,
Cornell University jazz instructors,2003 February 14,31924119826679,,
"Matthew Bengston, piano, Blanka Bednarz, violin",2003 February 16,31924119826687,,
"Kia-Hui Tan, violin, Xak Bjerken, piano",2003 February 21,31924119826695,,
"Sydney de Lapeyrouse, soprano, Kathy Hansen, piano",2003 March 3,31924119826703,,
Guest chamber music recital,2003 March 4,31924119826711,,
"Louis Bagger, harpsichord",2003 March 6,31924119826729,,
Cornell University Wind Ensemble,2003 March 8,31924119826737,,
Cornell University Symphonic Band,2003 March 9,31924119826745,,
"Heidi Hoffman, cello, Xak Bjerken, piano, David Yearsley, harpsichord",2003 March 13,31924119826752,,
"David Higgs, organ",2003 March 25,31924119826760,,
"Brigitte Poulin, piano",2003 March 27,31924119826778,,
Mozart and the keyboard culture of his time,2003 March 28,31924119826786,,
Violin and viola students,2003 March 30,31924119826794,,
Mozart and the keyboard culture of his time,2003 March 30,31924119826802,,
Cornell University Jazz Festival,2003 April 3,31924119826810,,
Festival Chamber Orchestra,2003 April 5,31924119826828,,
Guest ensemble: Bizzaries ,2003 April 9,31924119826836,,
Cornell Chamber Orchestra,2003 April 11,31924119826844,,
Cornell University Chorale,2003 April 12,31924119826851,,
"Jamye Valotta, flute, Blaise Bryski, piano, Elizabeth Lindau, harpsichord",2003 April 13,31924119826869,,
Honors String Quartet,2003 April 14,31924119826877,,
"Jared Emerson-Johnson, composer",2003 April 15,31924119826885,,
Ensemble X,2003 April 19,31924119826893,,
Student chamber music recital,2003 April 21,31924119826901,,
"Daniel Acsadi, guitar",2003 April 24,31924119826919,,
Cornell Symphony Orchestra,2003 April 25,31924119826927,,
Piano students of Xak Bjerken,2003 April 26,31924119826935,,
Cornell University Wind Ensemble,2003 April 26,31924119826943,,
Vocal recital,2003 April 26,31924119826950,,
Group recital Kirstin Ek,2003 April 6,31924119826968,,also contains 2002 April 13
Cornell Chamber Singers,2003 April 27,31924119826976,,
Cornell University Symphonic Band,2003 April 27,31924119826984,,
"Gary Moulsdale, tenor, Blaise Bryski, piano",2003 April 28,31924119826992,,
"Augustus Arnone, piano",2003 April 29,31924119827008,,
Studio 342,2003 April 30,31924119827016,,
Cornell Contemporary Chamber Players,2003 May 2,31924119827024,,
Student chamber music recital,2003 May 4,31924119827032,,3:00 PM
Student chamber music recital,2003 May 4,31924119827040,,8:00 PM
Cornell Gamelan Ensemble,2003 May 6,31924119827057,,
Water bear,2003 September 5,31924119827065,,
"David Borden, Blaise Bryski, Kathy Supove",2003 September 13,31924119827073,,
Student organists from the Eastman School of Music,2003 September 21,31924119827081,,
"Ruth Roland, violin, William Cowdery, piano",2003 September 26,31924119827099,,
Xak Bjerken,2003 September 28,31924119827107,,
"Kevin Lowe, drums",2003 October 17,31924119827115,,
Cornell Symphony Orchestra,2003 October 18,31924119827123,,
"Yotam Haber, composer",2003 October 19,31924119827131,,
Continuum student readings,2003 October 25,31924119827149,,
Continuum,2003 October 26,31924119827156,,
2nd annual Halloween organ concert,2003 October 30,31924119827164,,
Cornell University Wind Symphony,2003 November 1,31924119827172,,
Cornell Chamber Orchestra,2003 November 8,31924119827180,,
Los Pioneros,2003 November 9,31924119827198,,
"Catherine Oertel and Michael Clarkson, organ",2003 November 12,31924119827206,,
"Malcolm Bilson, fortepiano",2003 November 15,31924119827214,,
Cornell University Percussion Ensemble,2003 November 16,31924119827222,,
Cornell Contemporary Chamber Players,2003 November 16,31924119827230,,
Student chamber music recital,2003 November 17,31924119827248,,
"Blaise Bryski, Shane Levesque, Jason Wang",2003 November 21,31924119827255,,
Cornell University Jazz Ensemble I,2003 November 22,31924119827263,,
"Constance Dunlap, soprano, Jevon Bindman, tenor",2003 November 23,31924119827271,,
Student chamber music recital,2003 December 1,31924119827289,,
Cornell University Wind Symphony,2003 December 4,31924119827297,,
Cornell University Jazz Ensembles,2003 December 6,31924119827305,,1:00 PM
Cornell University Jazz Ensembles,2003 December 6,31924119827313,,8:00 PM
Piano students of Xak Bjerken,2003 December 6,31924119827321,,
Studio 342,2003 December 7,31924119827339,,
Cornell Gamelan Ensemble,2003 December 9,31924119827347,,
"Blaise Bryski, fortepiano",2004 January 31,31924119827354,,
"Xak Bjerken, piano",2004 February 1,31924119827362,,
"Silvia Mandolini, violin, Brigitte Poulin, piano",2004 February 6,31924119827370,,
Arnone-Cha-Kang Trio,2004 February 10,31924119827388,,
Los Bandidos,2004 February 14,31924119827396,,
Cornell University Symphony Orchestra,2004 February 15,31924119827404,,
"Sydney de Lapeyrouse, soprano, Kathy Hansen, piano",2004 February 16,31924119827412,,
The Stravinsky project Christina Dahl,2004 February 20,31924119827420,,
The Stravinsky project Ensemble X,2004 February 21,31924119827438,,
The Stravinsky project three classics,2004 February 22,31924119827446,,
"Emily Green, piano",2004 February 24,31924119827453,,
"Alexander Sarch, cello, Emily Green, piano",2004 March 1,31924119827461,,
"Judith Kellock, soprano",2004 March 4,31924119827479,,
Spring is almost here ,2004 March 6,31924119827487,,
"Amit Peled, cello, Miri Yampolsky, piano",2004 March 11,31924119827495,,
Cornell University Symphonic Band,2004 March 13,31924119827503,,
"Kia-Hui Tan, violin, Blaise Bryski, piano",2004 March 14,31924119827511,,
"David Chernyavsky, violin, Xak Bjerken, piano",2004 March 16,31924119827529,,
Joel Rubin Ensemble,2004 March 17,31924119827537,,
"Sarah Rice, cello, Emily Goldman, piano",2004 March 29,31924119827545,,
Festival Chamber Orchestra,2004 April 3,31924119827552,,Dress
Festival Chamber Orchestra,2004 April 3,31924119827560,,
Ensemble X,2004 April 10,31924119827578,,
Shoghaken Ensemble,2004 May 4,31924119827586,,
Cornell Symphony Orchestra,2004 May 8,31924119827594,,
Students of Xak Bjerken,2004 May 8,31924119827602,,
Cornell University Symphonic Band,2004 May 9,31924119827610,,
Cornell Gamelan Ensemble,2004 May 10,31924119827628,,
