AccessionNumber,ID NUMBER,KALTURA ID,dc.contributor.author 1,dc.contributor.author 2,dc.contributor.author 3,dc.contributor.author 4,dc.contributor.author 5,dc.contributor.author 6,dc.contributor.author 7,dc.contributor.author 8,dc.contributor.other,dc.date.created,dc.description,dc.description.abstract,dc.description.tableOfContents,dc.format.extent,dc.language.iso,dc.subject.lcsh 1,dc.subject.lcsh 2,dc.subject.lcsh 3,dc.subject.lcsh 4,dc.subject.lcsh 5,dc.subject.lcsh 6,dc.subject.other,dc.title,dc.title.alternative,dc.type
3604586,CUL_Lectures_CU_1619_AM_1_1 | CUL_Lectures_CU_1619_AM_1_2 | CUL_Lectures_CU_1619_AM_2_1,1_hobmxjhm | 1_emeks97c | 1_d40j6pps,"Derrida, Jacques",,,,,,,,,1984-04-18,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Andrew D. White Professors-At-Large Program,Romance Studies, Department of., Lecture, April 18, 1984.","Derrida discusses different ideas of, feelings about, and cultural groupings of inventions and invention methods.",,90 minutes,eng,Belief and doubt,Truth,Inventions,,,,,Invention of the truth,Andrew D. White Professors-At-Large lectures.,Sound
3601343,CUL_Lectures_CU_1620_AM_1_1 | CUL_Lectures_CU_1620_AM_1_2,1_qawyki84 | 1_g54zfu2y,"York, Herbert F. (Herbert Frank)",,,,,,,,,1984-04-19,"Recorded in Ithaca, NY by Cornell University., Lecture, April 19, 1984.","York explores the history of, and politics behind, the nuclear arms race. He suggests steps which the United States government and universities can take in order to halt the cold war.",,50 minutes,eng,Nuclear warfare--Social aspects,Arms race,International relations,,,,,The nuclear arms race: what might be done,Nuclear symposium.|Messenger lectures.,Sound
3601123,CUL_Lectures_CU_1627_AM_1_1 | CUL_Lectures_CU_1627_AM_1_2 | CUL_Lectures_CU_1627_AM_2_1 | CUL_Lectures_CU_1627_AM_2_2,1_038y3qyn | 1_8omxbpb9 | 1_57nllbsb | 1_r3go1yus,"Derrida, Jacques",,,,,,,,,1984-04-20,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Peace Studies Program,University Lectures Committee,Western Societies Program,Arts and Sciences, College of,Women's Studies Program,Romance Studies, Department of., Lecture, April 20, 1984.","Derrida distinguishes between the fiction and reality of nuclear war, places the nuclear age within the context of history, and clarifies the role of the critic in nuclear discourse.",,75 minutes,eng,Inventions,Nuclear warfare--Social aspects,Discourse analysis,Semiotics,,,,"Invention in the nuclear age--no apocalypse, not now",Nuclear criticism.|Diacritics colloquia.,Sound
3601191,CUL_Lectures_CU_1685_AM_1_1 | CUL_Lectures_CU_1685_AM_1_2,1_5fx8tbcb | 1_ew6jfauy,"Habermas, Jürgen",,,,,,,,,1984-09-06,"Recorded in Ithaca, NY by Cornell University., Speaker(s): Professor of sociology at the Frankfurt School, West Germany., Lecture, September 6, 1984.",Habermas analyzes the philosophical discourse surrounding modernity and postmodernity.,,72 minutes,eng,Philosophy--History--18th and 19th century,Modernism (Literature),Social sciences--Philosophy,,,,1700 - 1899,Dionysics vs. romantic,The Philosophical discourse on modernity and postmodernity.|Messenger lectures.,Sound
3601190,CUL_Lectures_CU_1686_AM_1_1 | CUL_Lectures_CU_1686_AM_1_2,1_agjk4c17 | 1_w9wujxob,"Habermas, Jürgen",,,,,,,,,1984-09-07,"Recorded in Ithaca, NY by Cornell University., Speaker(s): Professor of sociology at the Frankfurt School, West Germany., Lecture, September 7, 1984.",Habermas examines Nietzsche's interpretations of the modernity and postmodernity debate.,,70 minutes,eng,"Nietzsche, Friedrich Wilhelm, 1844-1900",Philosophy--History--18th and 19th century,Social sciences--Philosophy,,,,1700 - 1899,The Triple heritage of Nietzsche,The philosophical discourse on modernity and postmodernity.|Messenger lectures.,Sound
3601188,CUL_Lectures_CU_1688_AM_1_1 | CUL_Lectures_CU_1688_AM_1_2,1_jielxcjp | 1_x0e98uen,"Habermas, Jürgen",,,,,,,,,1984-09-10,"Recorded in Ithaca, NY by Cornell University., Speaker(s): Professor of sociology at the Frankfurt School, West Germany., Lecture, September 10, 1984.","Habermas discusses the theories of Heidegger and their relation to modernity, postmodernity and rationalism.",,62 minutes,eng,"Heidegger, Martin, 1889-1976",Social sciences--Philosophy,"Philosophy, Modern--20th century",Rationalism,,,1900 - 1999,Heidegger's overcoming of occidental rationalism,The philosophical discourse on modernity and postmodernity.|Messenger lectures.,Sound
3601185,CUL_Lectures_CU_1691_AM_1_1 | CUL_Lectures_CU_1691_AM_1_2 | CUL_Lectures_CU_1691_AM_2_1,1_v0mslhis | 1_hhhyswse | 1_upayvlqo,"Habermas, Jürgen",,,,,,,,,1984-09-11,"Recorded in Ithaca, NY by Cornell University., Speaker(s): Professor of sociology at the Frankfurt School, West Germany., Lecture, September 11, 1984.","Habermas examines Bataille's views on modernity, postmodernity, and social theory.",,105 minutes,eng,"Bataille, Georges, 1897-1962",Social sciences--Philosophy,"Philosophy, Modern--20th century",,,,1900 - 1999,Bataille: between eroticism and economy of nature,The philosophical discourse on modernity and postmodernity.|Messenger lectures.,Sound
3601184,CUL_Lectures_CU_1692_AM_1_1 | CUL_Lectures_CU_1692_AM_1_2,1_is55abq9 | 1_dqhdj59e,"Certeau, Michel de",,,,,,,,,1984-09-12,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Lecture, September 12, 1984.",deCerteau discusses literary mysticism in 16th and 17th century Spain and France.,,85 minutes,eng,Mysticism in literature,"Spanish literature--Classical period, 1500-1700",French literature--17th and 18th century,,,,1500 - 1799,"Sixteenth and seventeenth century Spanish and French mysticism, part 1",,Sound
3601183,CUL_Lectures_CU_1693_AM_1_1 | CUL_Lectures_CU_1693_AM_1_2,1_wqp10urs | 1_xs7tnn57,"Habermas, Jürgen",,,,,,,,,1984-09-12,"Recorded in Ithaca, NY by Cornell University., Speaker(s): Professor of sociology at the Frankfurt School, West Germany., Lecture, September 12, 1984.","Habermas examines the role of society in creating sciences' ""great men"".",,90 minutes,eng,"Foucault, Michel, 1926-1984","Philosophy, Modern--Philosophy",Social sciences--Philosophy,,,,1900 - 1999,Foucault's unmasking of the human sciences,The philosophical discourse on modernity and postmodernity.|Messenger lectures.,Sound
3601213,CUL_Lectures_CU_1703_AM_1_1 | CUL_Lectures_CU_1703_AM_1_2,1_uv492pd7 | 1_zlcghfa4,"Thomas, Helen, 1920-2013",,,,,,,,,1984-09-17,"Recorded in Ithaca, NY by Cornell University., Speaker(s): Thomas is a journalist who covers the White House., Lecture, September 17, 1984.","Thomas outlines the last days of the 1984 presidential campaign, discusses Reagan as President, and explains the relationship of the media with the President, in general, and with Reagan, in particular.",,60 minutes,eng,Elections--United States,Presidents--United States--Election,"Politics, Practical",,,,,The final fifty days of the presidential campaign,,Sound
3604597,CUL_Lectures_CU_1704_AM_1_1 | CUL_Lectures_CU_1704_AM_1_2,1_78mpa5tr | 1_isx8b5hm,"Dover, K. J. (Kenneth James), 1920-2010",,,,,,,,,1984-09-18,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Andrew D. White Professors-At-Large Program., Lecture, September 18, 1984.","Dover discusses representations of and interest in homosexuality in ancient Greece, particularly relating to adolescent initiation into adulthood.",,75 minutes,eng,Homosexuality,Greece--History--To 146 B.C,,,,,To 146 B.C.,Homosexuality and initiation in ancient Greece,Andrew D. White Professors-At-Large lectures.,Sound
3601232,CUL_Lectures_CU_1705_AM_1_1 | CUL_Lectures_CU_1705_AM_1_2 | CUL_Lectures_CU_1705_AM_2_1 | CUL_Lectures_CU_1705_AM_2_2,1_wv9eckzi | 1_h08402vr | 1_lm1oh783 | 1_okichluq,"Certeau, Michel de",,,,,,,,,1984-09-19,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Lecture, September 19, 1984.",deCerteau discusses the development of mysticism in Spain and France.,,120 minutes,eng,Mysticism,Spain--History--16th century,Spain--History--17th century,France--History--16th century,France--History--17th century,,1500 - 1699,"Sixteenth and seventeenth century Spanish and French mysticism, part 2",,Sound
3601231,CUL_Lectures_CU_1713_AM_1_1 | CUL_Lectures_CU_1713_AM_1_2 | CUL_Lectures_CU_1713_AM_2_1,1_8717tnjz | 1_j21c0bzu | 1_4gpgs1tb,"Anderson, Benedict R. O'G. (Benedict Richard O'Gorman), 1936-2015","Weiss, John Hubbel","Kramnick, Isaac","Cohen, Walter, 1949-",,,,,,1984-09-21,"Recorded in Ithaca, NY by Cornell University., Panel, September 21, 1984.","Panel members discuss the interrelationship between language, literature and nationalism.",,110 minutes,eng,Nationalism,Language and languages--Political aspects,,,,,,"Language, literature, and national consciousness",,Sound
3601134,CUL_Lectures_CU_1723_AM_1_1 | CUL_Lectures_CU_1723_AM_1_2,1_yxbun3c6 | 1_3ye5343z,"Certeau, Michel de",,,,,,,,,1984-10-03,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Lecture, October 3, 1984.",de Certeau analyzes Juan de la Cruz's poetry in light of Spanish mysticism.,,105 minutes,eng,Mysticism in literature,Literature--History and criticism,"Comparative literature--Themes, motives","Spanish literature--Classical period, 1500-1700",French literature--16th and 17th centuries,,1500 - 1700,"Sixteenth and seventeenth century Spanish and French mysticism, part 4",,Sound
3601227,CUL_Lectures_CU_1723_AM_2_1 | CUL_Lectures_CU_1723_AM_2_2,1_pfu7awma | 1_nz5umtqu,"Certeau, Michel de",,,,,,,,,1984-09-26,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Lecture, September 26, 1984.","In his third lecture of the series, Certeau discusses ""higher literature"", its mystical content, and interpretations of it in 17th and 18th century Europe.",,130 minutes,eng,Mysticism,Mysticism in literature,Spain--History--16th century,Spain--History--17th century,France--History--16th century,France--History--17th century,1500 - 1699,"Sixteenth and seventeenth century Spanish and French mysticism, part 3",,Sound
3601203,CUL_Lectures_CU_1731_AM_1_1,1_4d3lcq1h,"Ikiriye, Akira",,,,,,,,,1984-09-28,"Recorded in Ithaca, NY by Cornell University., Sponsored by: China- Japan Program., Lecture, September 28, 1984.",Ikiriye discusses the increasing influence of Western culture on Japanese society.,,39 minutes,eng,Japan--Social conditions,Japan--Occidental influences--20th century,,,,,1900 - 1999,The westernization of Japan,,Sound
3601137,CUL_Lectures_CU_1746_AM_1_1,1_zxm6py9v,"Pempel, Alice McDowell",,,,,,,,,1984-10-03,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Center for World Community,Interreligious International Ministries Committee (IRIM)., Lecture, October 3, 1984.","Pempel discusses yin and yang, or feminine and masculine characteristics, and the need for more yin in our society. She asserts that we must begin to concentrate more on being than on doing and to make time for solitude.",,65 minutes,eng,Yin-yang,Spiritual life,Femininity (Philosophy),,,,,"Spirituality, femininity, and world community",America and the world community.,Sound
3601138,CUL_Lectures_CU_1747_AM_1_1,1_ubvnejvn,"Škvorecký, Josef, 1924-2012",,,,,,,,,1984-10-04,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Russian Literature, Department of., Lecture, October 4, 1984.","Skovorecky discusses the Communist repression of the Czech government, especially in the literary and musical fields, since 1968. Particular attention is paid to the development of jazz and punk rock music in Czechoslovakia, the necessary ideological compromises with the present regime, the domestic sources of information on music composed in Czechoslovakia, and the realities of ""culture control"" by the authorities in this area.",,61 minutes,eng,Music--Czechoslovakia,Social history--Czechoslovakia,Jazz,Politics and literature,Czechoslovakia--Social conditions--1945-1992,,1945 - 1992,Jazz and literary culture in Czechoslovakia today,,Sound
3601141,CUL_Lectures_CU_1751_AM_1_1 | CUL_Lectures_CU_1751_AM_1_2,1_esbyz33l | 1_6htt0prf,"Harris, Robert","Stimpson, Catharine R., 1936-","Norton, Mary Beth","Marshall, Jeffrey","Lanham, Richard A.",,,,,1984-10-05,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Lecture, October 5, 1984.","The five speakers discusss topics such as the problems facing foreign-language students in American universities, conflicts over the distribution of the National Endowment for the Humanities funds, and the need for public acknowledgement of foreign cultural concerns by the National Endowment for the Humanities.",,90 minutes,eng,Education and state,Education--Political aspects,Humanities,,,,,The humanities in everyday life and public policy,,Sound
3601147,CUL_Lectures_CU_1757_AM_1_1 | CUL_Lectures_CU_1757_AM_1_2,1_h1kb4ai4 | 1_66vmji8t,"Katzenstein, Mary Fainsod, 1945-","Feldman, Margaret",,,,,,,,1984-10-09,"Recorded in Ithaca, NY by Cornell University., Lecture, October 9, 1984.","Katzenstein speaks of Reagan's attempts to reestablish the patriarchal family as predominant in the U.S. Feldman speaks of Reagan's attempts to curtail federal medical assistance for the elderly, a disproportionate number of whom are living in poverty.",,81 minutes,eng,"Reagan, Ronald",United States. President (1981-1989 : Reagan),Women--United States--Social conditions--1980-,"Women--Legal status, laws, etc",,,Since 1980,Assessing Reagan's record: women's concerns,,Sound
3601148,CUL_Lectures_CU_1758_AM_1_1 | CUL_Lectures_CU_1758_AM_1_2 | CUL_Lectures_CU_1758_AM_2_1 | CUL_Lectures_CU_1758_AM_2_2,1_ch8muk1o | 1_5yim92rb | 1_pcr4mr05 | 1_qydv6vfe,"Certeau, Michel de",,,,,,,,,1984-10-10,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Lecture, October 10, 1984.",de Certeau discusses the criteria necessary for recognizing mystical texts as such and suggests ways in which mystical texts may be analyzed.,,105 minutes,eng,Mysticism in literature,Literature--History and criticism,"Spanish literature--Classical period, 1500-1700",French literature--16th and 17th centuries,,,1500 - 1700,"Sixteenth and seventeenth century Spanish and French mysticism, part 5",,Sound
3601159,CUL_Lectures_CU_1776_AM_1_1,1_gbeim854,"Quinones, Riccardo",,,,,,,,,1984-10-22,"Recorded in Ithaca, NY by Cornell University., Lecture, October 22, 1984.","Quinones describes the history of the Cain and Abel theme in literature, emphasizing Dante's use of it in the character of Ulysses and Machiavelli's ""revolutionary"" application of it in his work.",,70 minutes,eng,"Dante Alighieri, 1265-1321--Symbolism","Machiavelli, Niccolo, 1469-1527--Symbolism","Comparative literature--Themes, motives","Plots (Drama, novel, etc.)",Cain complex,,,Ulysses' brother: the Cain and Abel theme in Dante and Machiavelli,Renaissance colloquia.,Sound
3601174,CUL_Lectures_CU_1782_AM_1_1 | CUL_Lectures_CU_1782_AM_1_2,1_dpgp03qo | 1_ad1knj8n,"Greve, Michael S.","Ranney, Christine K.","McAdams, A. K. (Alan K.)","Jackson, Steven",,,,,,1984-10-24,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Asian-American coalition,University Unions Programming Board,Africana Studies and Research Center., Debate, October 24, 1984.",McAdams points to the weaknesses in Reagan's economic policy while Greve defends it. Ranney emphasizes social justice concerns while Jachson focuses on the long-term societal effects of Reagan's policies.,,91 minutes,eng,"Reagan, Ronald",United States. President (1981-1989 : Reagan),United States--Economic policy--1980-,United States--Social conditions--1980-,,,Since 1980,Assessing Reagan's record: economic policy,Assessing Reagan's Record.,Sound
3604600,CUL_Lectures_CU_1785_AM_1_1,1_tyx2sdzt,"Woolhouse, Harold W",,,,,,,,,1984-10-25,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Andrew D. White Professors-At-Large Program., Lecture, October 25, 1984.",Woolhouse describes the way in which scientists produce new hybrids by genetic manipulation.,,85 minutes,eng,Genetic engineering--Law and legislation,Hybridization,,,,,,Taking control of evolution: genetic manipulation and its consequences for various species,Andrew D. White Professors-At-Large lectures.,Sound
3601073,CUL_Lectures_CU_1798_AM_1_1 | CUL_Lectures_CU_1798_AM_1_2,1_q6dp9f8f | 1_cqfb1b1k,"Goodstein, David B., 1932-",,,,,,,,,1984-10-30,"Recorded in Ithaca, NY by Cornell University., Lecture, October 30, 1984.",Goodstein discusses social change which has occurred during the past 20 years and its implications for the U.S. political system.,,60 minutes,eng,"Politics, Practical",Social change,United States--Politics and government,,,,,Can social change be achieved through the United States' political system?,,Sound
3601074,CUL_Lectures_CU_1799_AM_1_1 | CUL_Lectures_CU_1799_AM_1_2,1_ve3dn622 | 1_p5murkne,"Kleihues, Josef Paul",,,,,,,,,1984-10-31,"Recorded in Ithaca, NY by Cornell University., Lecture, October 31, 1984.",Kleihues describes several of the civic designs which were suggested for Berlin during the period 1900-1965.,,79 minutes,eng,Architecture--Germany--1900-1965,City planning--Germany--Berlin,,,,,1900 - 1965,Berlin architecture and urban design since 1900,Preston H. Thomas memorial lectures.,Sound
3601076,CUL_Lectures_CU_1801_AM_1_1 | CUL_Lectures_CU_1801_AM_1_2,1_bm8hhf9d | 1_tj7zm5ai,"Weisskopf, Victor Frederick, 1908-2002",,,,,,,,,1984-10-31,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Center for World Community,Interreligious International Ministries Committee (IRIM)., Lecture, October 31, 1984.","Weisskopf discusses nuclear war, the cold war, and the present realities of the Strategic Defense Initiative (SDI). He describes the work of antinuclear activists and their influence on public policy.",,70 minutes,eng,Antinuclear movement,Nuclear disarmament,,,,,,How to avoid nuclear war,America and the world community.,Sound
3601081,CUL_Lectures_CU_1806_AM_1_1 | CUL_Lectures_CU_1806_AM_1_2,1_ly2s955m | 1_a0lul2dz,"Kleihues, Josef Paul",,,,,,,,,1984-11-02,"Recorded in Ithaca, NY by Cornell University., Lecture, November 2, 1984.",Kleihues describes the current architectual designs being used in the renovation of inner-city Berlin.,,84 minutes,eng,Berlin (Germany),Architecture--Conservation and restoration,Architecture--Germany,,,,,Architecture between individualism and convention,Preston H. Thomas memorial lectures.,Sound
3601096,CUL_Lectures_CU_1813_AM_1_1,1_zopqf6s1,"McCourt, James, 1941-",,,,,,,,,1984-11-06,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Council on the Creative and Performing Arts., Reading, November 6, 1984.","McCourt reads from his work in progress, ""Time Out of Mind"".",,63 minutes,eng,,,,,,,1900 - 1999,"James McCourt reads from ""Time Out of Mind""",,Sound
3601102,CUL_Lectures_CU_1816_AM_1_1 | CUL_Lectures_CU_1816_AM_1_2,1_6a4dug5r | 1_1l313num,"Socolow, Sanford",,,,,,,,,1984-11-07,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Sigma Delta Chi,Cornell Daily Sun,The Society of Professional Journalists., Lecture, November 7, 1984.","Socolow chronicles the history of ""60 Minutes"".",,55 minutes,eng,Television programs--Reviews,Documentary television programs,Television broadcasting of news,,,,,"Talk on what makes ""60 Minutes"" tick",,Sound
3601050,CUL_Lectures_CU_1825_AM_1_1 | CUL_Lectures_CU_1825_AM_1_2,1_0zma0xze | 1_z1vnlgkl,"Katzenstein, Peter J.",,,,,,,,,1984-11-10,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Western Societies Program., Speaker(s): Katzenstein is a professor in the Government Department, Cornell., Lecture, November 10, 1984.",Katzenstein emphasizes the contradictory elements inherent in the German reunification question.,,52 minutes,eng,German reunification question (1949-1990),German reunification question (1949-1990),Nationalism,Germany (East)--Social conditions--1945-,Germany (East)--Foreign relations--Germany (West),,Since 1945,The 'German Question' reopened,"East Germany, West Germany and the Soviet Union: the changing relationship.",Sound
3604601,CUL_Lectures_CU_1829_AM_1_1 | CUL_Lectures_CU_1829_AM_1_2,1_36jol0ps | 1_fb6m9ihc,"Borlaug, Norman E. (Norman Ernest), 1914-2009",,,,,,,,,1984-11-12,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Andrew D. White Professors-At-Large Program., Lecture, November 12, 1984.",Borlaug discusses various social and political influences on the development of agriculture and international agricultural policy.,,53 minutes,eng,Agriculture--International cooperation,Agricultural assistance,Agriculture and politics,,,,,Seeds and global politics,Andrew D. White Professors-At-Large lectures.,Sound
3601059,CUL_Lectures_CU_1836_AM_1_1 | CUL_Lectures_CU_1836_AM_1_2,1_b10zrd2z | 1_0l7g19eq,"Grundberg, Andy",,,,,,,,,1984-11-14,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Art, Department of., Speaker(s): Grundberg is a visiting artist., Lecture, November 14, 1984.",Grundberg defines postmodernism and describes its importance.,,54 minutes,eng,"Arts, Modern--20th century",Postmodernism,"Photography, Artistic","Photography, Abstract",,,1900 - 1999,Masking and unmasking of photography in post-modernism,,Sound
3601042,CUL_Lectures_CU_1839_AM_1_1 | CUL_Lectures_CU_1839_AM_1_2,1_6f7hbfd8 | 1_056pe7x9,"Caplan, Paula J.",,,,,,,,,1984-11-15,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Women's Studies Program,University Health Services., Lecture, November 15, 1984.","Caplan describes a number of ideas which surround sex differences, particularly those which relate to female ""masochism"".",,80 minutes,eng,Sex differences,Masochism--Sex differences,"Psychology, Pathological",,,,,The myth of women's masochism,,Sound
3600742,CUL_Lectures_CU_1847_AM_1_1 | CUL_Lectures_CU_1847_AM_1_2,1_ecevtj8a | 1_qbbx7qud,"LaCapra, Dominick, 1939-",,,,,,,,,1984-11-28,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Speaker(s): LaCapra is director of the Society for the Humanities and is a professor in the History department, Cornell., Lecture, November 28, 1984.","LaCapra describes the relationship of the novel to history and briefly chronicles intellectual history, interpreting and defining the novel through its relation to history.",,75 minutes,eng,Nonfiction novel,Intellectual life--History,History--Miscellanea,,,,,History and the novel,,Sound
3601019,CUL_Lectures_CU_1862_AM_1_1 | CUL_Lectures_CU_1862_AM_1_2,1_d4nkliv2 | 1_zav3420r,"Hoffmann, Roald",,,,,,,,,1985-02-06,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Lecture, February 6, 1985.","Hoffmann discusses the rift between scientists and humanists. He presents three case studies of chemistry, poetry, and visual arts and describes the similarities common to these fields.",,73 minutes,eng,Education--Study and teaching,Science--Study and teaching,Art--Study and teaching,Science and the humanities,,,,One culture: creative modes common to the arts and sciences,,Sound
3600721,CUL_Lectures_CU_1879_AM_1_1 | CUL_Lectures_CU_1879_AM_1_2,1_5gwabvta | 1_pis8lrdj,"Sheerman, Barry",,,,,,,,,1985-02-19,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Western Societies Program., Speaker(s): Sheerman is a British politician., Lecture, February 19, 1985.","Sheerman discusses the British parliament, its history as it relates to the Labour party, and its possibilities for the future.",,63 minutes,eng,,,,,,,1979 - 1997,Has the Labour Party a future in British politics?,,Sound
3601009,CUL_Lectures_CU_1899_AM_1_1 | CUL_Lectures_CU_1899_AM_1_2,1_r4uxuwu9 | 1_6q4j3prk,"Benería, Lourdes",,,,,,,,,1985-03-01,"Recorded in Ithaca, NY by Cornell University., Sponsored by: City and Regional Planning, Department of,Women's Studies Program., Speaker(s): Beneria is a member of the economics department at Rutgers University. (In 1986, she joined the faculty in the department of City and Regional Planning, Cornell.), Lecture, March 1, 1985.",Beneria discusses the involvement of women in economic development around the world and describes the manner in which research has evolved in this field over the past 15 years.,,84 minutes,eng,Women in rural development,Economic development,Women--Social conditions,,,,,"Women, development and the international economy",,Sound
3600993,CUL_Lectures_CU_1931_AM_1_1 | CUL_Lectures_CU_1931_AM_1_2,1_kjwa3ild | 1_yfz0cmkz,"Kabashima, Ikuo, 1947-",,,,,,,,,1985-03-11,"Recorded in Ithaca, NY by Cornell University., Sponsored by: China- Japan Program., Lecture, March 11, 1985.","Kabashima discusses the processes which helped maintain the power of the Liberal Democratic Party (LDP) for the last 30 years, particularly in reference to political corruption and the political system's reaction to it.",,73 minutes,eng,,,,,,,,Popular support and the stability of the liberal democratic party regime in Japan,,Sound
3600735,CUL_Lectures_CU_1942_AM_1_1 | CUL_Lectures_CU_1942_AM_1_2,1_mfnb7r6t | 1_zx0vilp3,"Lowi, Theodore J.","Robinson, Kenneth Leon, 1921-",,,,,,,,1985-03-14,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Biology and Society Major., Lecture, March 14, 1985.","Robinson discusses American agricultural policy and its successful economic impact. Lowi discusses American politics' effect on agriculture through history, focusing on economic changes.",,77 minutes,eng,Agriculture--Economic aspects,Agriculture--United States,Agriculture and politics,,,,,Agricultural policy in the United States: political and economic dimensions,,Sound
3600944,CUL_Lectures_CU_1952_AM_1_1,1_pn3hvp5o,"Culler, Jonathan D.","Mohanty, Satya P. (Satya Prakash), 1954-",,,,,,,,1985-03-16,"Recorded in Ithaca, NY by Cornell University., Sponsored by: German Literature, Department of,Women's Studies Program., Lecture, March 16, 1985.",Culler discusses Habermas' notion of communication and literary principles and his study of language in its relation to action. Mohanty serves as discussant.,,75 minutes,eng,"Habermas, Jürgen",German literature--20th century,Frankfurt school of sociology,Language and languages,,,1900 - 1999,Communicative competence and normative force,Rationality and modern society.,Sound
3600942,CUL_Lectures_CU_1954_AM_1_1 | CUL_Lectures_CU_1954_AM_1_2,1_qudy3383 | 1_nuypn2lu,"Benhabib, Seyla","Miller, Richard",,,,,,,,1985-03-16,"Recorded in Ithaca, NY by Cornell University., Sponsored by: German Literature, Department of,Women's Studies Program., Lecture, March 16, 1985.",Benhabib explains the latent utopianism evident in Habermas' view of communicative ethics. Miller serves as discussant.,,78 minutes,eng,"Habermas, Jürgen",German literature--20th century,Frankfurt school of sociology,Utopias in literature,,,1900 - 1999,The utopian dimension in communicative ethics,Rationality and modern society.,Sound
3600936,CUL_Lectures_CU_1961_AM_1_1 | CUL_Lectures_CU_1961_AM_1_2,1_yd1jbguc | 1_9jmq5cy1,"Williams, L. Pearce, 1927-2015","Burak, David, 1945-",,,,,,,,1985-03-19,"Recorded in Ithaca, NY by Cornell University., Lecture, March 19, 1985.",Williams and Burak discuss the topic of student activism and political orientation of Cornell students at the present as compared to the 1960's.,,86 minutes,eng,Cornell University--History,Youth--Political activity,Student movements,Students--Political activity,,,,Cornell 1969-1985: liberalism to conservatism?,,Sound
3600924,CUL_Lectures_CU_1984_AM_1_1 | CUL_Lectures_CU_1984_AM_1_2,1_mvmsil4i | 1_0zsj0bas,"Powers, Thomas",,,,,,,,,1985-03-26,"Recorded in Ithaca, NY by Cornell University., Sponsored by: November 11th Committee., Lecture, March 26, 1985.",Powers chronicles the events which led to World War I and presents them as a warning against current military policies.,,22 minutes,eng,"World War, 1914-1918",Nuclear warfare,"World War, 1914-1918",United States--History--1914-1918,,,1914 - 1918,U.S. nuclear war plans,,Sound
3604609,CUL_Lectures_CU_1987_AM_1_1 | CUL_Lectures_CU_1987_AM_1_2,1_1b7n8g9v | 1_hknzm402,"Welty, Eudora, 1909-2001",,,,,,,,,1985-03-27,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Andrew D. White Professors-At-Large Program., Speaker(s): Well-known author., Reading, March 27, 1985.","Welty reads her short story, ""The Wide Net"".",,43 minutes,eng,"Welty, Eudora, 1909-2001",Fiction--20th century,Prose literature,,,,1900 - 1999,"Eudora Welty reads her short story ""The Wide Net""",Andrew D. White Professors-At-Large lectures.,Sound
3600907,CUL_Lectures_CU_2002_AM_1_1 | CUL_Lectures_CU_2002_AM_1_2,1_54sheu4p | 1_9km5d2dx,"Wolff, Tobias, 1945-",,,,,,,,,1985-04-11,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Creative Writing Program,National Endowment for the Arts., Reading, April 11, 1985.","Wolff reads from his works ""Sister"" and ""The Rich Brother"".",,50 minutes,eng,"Wolff, Tobias, 1945-","Literature, Modern--20th century",Fiction--20th century,,,,1900 - 1999,Tobias Wolff reads his own work.,,Sound
3600906,CUL_Lectures_CU_2007_AM_1_1 | CUL_Lectures_CU_2007_AM_1_2,1_9sxvsg4v | 1_jdzmo4qf,"Lynch, Dotty",,,,,,,,,1985-04-15,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Cornell Institute for Social and Economic Research (CISER)., Lecture, April 15, 1985.","Lynch describes the use of polls in presidential campaigns, specifically the 1984 campaign.",,62 minutes,eng,"Politics, Practical",Public opinion polls,Elections--United States,Presidents--United States,,,,Survey research and presidential campaigns: the Democrats in 1984,Polling and the political process.,Sound
