001,005,007,008,035_##$a,040_##$a,040_##$c,040_##$d,045_##$a,100_1#$a,100_1#$c,100_1#$d,100_1#$q,240_10$a,240_10$l,245_10$a,245_10$b,245_10$h,245_12$a,245_12$h,245_13$a,245_13$h,245_14$a,245_14$h,260_##$c,300_##$a,300_##$b,500_##$a,505_0#$a,510_4#$a,510_4#$b,510_4#$c,518_##$a,520_##$a,540_##$a,600_00$a,600_00$d,600_00$x,600_07$0,600_07$2,600_07$a,600_07$d,600_10$a,600_10$d,600_10$q,600_10$t,600_10$x,600_17$0,600_17$2,600_17$a,600_17$d,600_17$q,610_10$a,610_10$b,610_17$0,610_17$2,610_17$a,610_17$b,610_20$a,610_20$x,610_20$y,610_27$0,610_27$2,610_27$a,611_27$0,611_27$2,611_27$a,630_#7$0,630_#7$2,630_#7$a,630_00$a,648_#7$2,648_#7$a,650_#0$a,650_#0$v,650_#0$x,650_#0$y,650_#0$z,650_#7$0,650_#7$2,650_#7$a,650_#7$x,651_#0$a,651_#0$x,651_#0$y,651_#0$z,651_#7$0,651_#7$2,651_#7$a,651_#7$z,655_#7$0,655_#7$2,655_#7$a,700_1#$a,700_1#$c,700_1#$d,700_1#$q,710_1#$4,710_1#$a,710_1#$b,830_#0$a,830_#0$p,830_#4$a,899_1#$a,905_##$a,948_2#$a,948_2#$b,948_2#$d,948_2#$e,948_2#$x,leader
3601183,20151214182813.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897187,NIC,NIC,NIC,,"Habermas, Jurgen.",,,,,,Foucault's unmasking of the human sciences,,[sound recording],,,,,,,1984.,1 sound cassette (90 min.) :,"analog, mono.","Speaker(s): Professor of sociology at the Frankfurt School, West
                Germany.",,,,,"Lecture, September 12, 1984.","Habermas examines the role of society in creating sciences'
                ""great men"".",,,,,,,,,"Foucault, Michel,",1926-1984.,,,,(OCoLC)fst01427415,fast,"Foucault, Michel,",1926-1984,,,,,,,,,,,,,,,,,,,,,fast,1900 - 1999,Social science,,Philosophy.,20th century.,,(OCoLC)fst01061071,fast,"Philosophy, Modern",,,,,,,,,,,,,,,,,,,,Messenger lectures.,,"The philosophical discourse on modernity and
                postmodernity.",CULectures,20000508120000.0,20141221,m,batch,lts,addfast,01287cim a22003492u 4500
3601213,20151214182816.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897232,NIC,NIC,NIC,,"Thomas, Helen,",,1920- ,,,,,,,,,,,The final fifty days of the presidential campaign,[sound recording],1984.,1 sound cassette (60 min.) :,"analog, mono.","Speaker(s): Thomas is a journalist who covers the White
                House.",,,,,"Lecture, September 17, 1984.","Thomas outlines the last days of the 1984 presidential campaign,
                discusses Reagan as President, and explains the relationship of the media with the
                President, in general, and with Reagan, in particular.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Politics, Practical.",,Election.,,United States,(OCoLC)fst01075747,fast,Presidents,Election,,,,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,,,,,,CULectures,20000329120000.0,20141221,m,batch,lts,addfast,01365cim a22003372u 4500
3604597,20151214183428.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63903051,NIC,NIC,NIC,,"Dover, K. J.",,1920-2010.,"(Kenneth James),",,,Homosexuality and initiation in ancient Greece,,[sound recording],,,,,,,1984.,1 sound cassette (75 min.) :,"analog, mono.",Sponsored by: Andrew D. White Professors-At-Large Program.,,,,,"Lecture, September 18, 1984.","Dover discusses representations of and interest in homosexuality in
                ancient Greece, particularly relating to adolescent initiation into
                adulthood.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,To 146 B.C.,Greece,,History,To 146 B.C.,,(OCoLC)fst00959755,fast,Homosexuality,,,,,,,,,,(OCoLC)fst01411628,fast,History,,,,,,,,Andrew D. White Professors-At-Large lectures.,,,CULectures,20000407120000.0,20141221,m,batch,lts,addfast,01235cim a22003252u 4500
3601232,20151214182818.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897261,NIC,NIC,NIC,,"Certeau, Michel de.",,,,,,"Sixteenth and seventeenth century Spanish and French mysticism, part
                2",,[sound recording],,,,,,,1984.,2 sound cassettes (120 min.) :,"analog, mono.",Sponsored by: Society for the Humanities.,,,,,"Lecture, September 19, 1984.","deCerteau discusses the development of mysticism in Spain and
                France.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,1500 - 1699,Mysticism.,,,,,(OCoLC)fst01031629,fast,Mysticism,,France,History,17th century.,,(OCoLC)fst01204303,fast,Spain,,,,,,,,,,,,,,,CULectures,20000414120000.0,20141221,m,batch,lts,addfast,01301cim a22003732u 4500
3601231,20151214182818.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897260,NIC,NIC,NIC,,"Anderson, Benedict R. O'G.",,1936-2015.,"(Benedict Richard O'Gorman),",,,"Language, literature, and national consciousness",,[sound recording],,,,,,,1984.,2 sound cassettes (110 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.",,,,,"Panel, September 21, 1984.","Panel members discuss the interrelationship between language,
                literature and nationalism.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Language and languages,,Political aspects.,,,(OCoLC)fst01033832,fast,Nationalism,Political aspects,,,,,,,,,,,,"Cohen, Walter,",,1949-,,,,,,,,CULectures,20000406120000.0,20141221,m,batch,lts,addfast,01186cim a22003252u 4500
3601134,20151214182806.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897109,NIC,NIC,NIC,,"Certeau, Michel de.",,,,,,"Sixteenth and seventeenth century Spanish and French mysticism, part
                4",,[sound recording],,,,,,,1984.,2 sound cassettes (105 min.) :,"analog, mono.",Sponsored by: Society for the Humanities.,,,,,"Lecture, October 3, 1984.","de Certeau analyzes Juan de la Cruz's poetry in light of Spanish
                mysticism.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,1500 - 1700,French literature,,"Themes, motives.",16th and 17th centuries.,,(OCoLC)fst01711000,fast,Spanish literature,Classical period,,,,,,,,,(OCoLC)fst01411635,fast,"Criticism, interpretation, etc.",,,,,,,,,,,CULectures,20000303120000.0,20141221,m,batch,lts,addfast,01591cim a22003972u 4500
3601227,20151214182818.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897254,NIC,NIC,NIC,,"Certeau, Michel de.",,,,,,"Sixteenth and seventeenth century Spanish and French mysticism, part
                3",,[sound recording].,,,,,,,1984.,2 sound cassettes (130 min.) :,"analog, mono.",Sponsored by: Society for the Humanities.,,,,,"Lecture, September 26, 1984.","In his third lecture of the series, Certeau discusses ""higher
                literature"", its mystical content, and interpretations of it in 17th and 18th
                century Europe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,1500 - 1699,Mysticism in literature.,,,,,(OCoLC)fst01031668,fast,Mysticism in literature,,France,History,17th century.,,(OCoLC)fst01204303,fast,Spain,,,,,,,,,,,,,,,CULectures,20000414120000.0,20141221,m,batch,lts,addfast,01495cim a22003972u 4500
3601203,20151214182815.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897216,NIC,NIC,NIC,,"Ikiriye, Akira.",,,,,,,,,,,,,The westernization of Japan,[sound recording],1984.,1 sound cassette (39 min.) :,"analog, mono.",Sponsored by: China- Japan Program.,,,,,"Lecture, September 28, 1984.","Ikiriye discusses the increasing influence of Western culture on
                Japanese society.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,1900 - 1999,,,,,,(OCoLC)fst01122498,fast,Social history,,Japan,Occidental influences,20th century.,,(OCoLC)fst01204082,fast,Japan,,,,,,,,,,,,,,,CULectures,20000428120000.0,20141221,m,batch,lts,addfast,01065cim a22003132u 4500
3601137,20151214182806.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897112,NIC,NIC,NIC,,"Pempel, Alice McDowell.",,,,,,"Spirituality, femininity, and world community",,[sound recording],,,,,,,1984.,1 sound cassette (65 min.) :,"analog, mono.","Sponsored by: Center for World Community,Interreligious International
                Ministries Committee (IRIM).",,,,,"Lecture, October 3, 1984.","Pempel discusses yin and yang, or feminine and masculine
                characteristics, and the need for more yin in our society. She asserts that we must
                begin to concentrate more on being than on doing and to make time for
                solitude.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Femininity (Philosophy),,,,,(OCoLC)fst01182853,fast,Yin-yang,,,,,,,,,,,,,,,,,,,,America and the world community.,,,CULectures,20000331120000.0,20141221,m,batch,lts,addfast,01369cim a22003372u 4500
3601138,20151214182806.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897114,NIC,NIC,NIC,,"Škvorecký, Josef,",,1924-2012.,,,,Jazz and literary culture in Czechoslovakia today,,[sound recording],,,,,,,1984.,1 sound cassette (61 min.) :,"analog, mono.","Sponsored by: Russian Literature, Department of.",,,,,"Lecture, October 4, 1984.","Skovorecky discusses the Communist repression of the Czech
                government, especially in the literary and musical fields, since 1968. Particular
                attention is paid to the development of jazz and punk rock music in Czechoslovakia,
                the necessary ideological compromises with the present regime, the domestic sources
                of information on music composed in Czechoslovakia, and the realities of
                ""culture control"" by the authorities in this area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,1945 - 1992,Politics and literature.,,,,Czechoslovakia.,(OCoLC)fst01122498,fast,Social history,,Czechoslovakia,Social conditions,1945-1992.,,(OCoLC)fst01212490,fast,Czechoslovakia,,,,,,,,,,,,,,,CULectures,20000324120000.0,20141221,m,batch,lts,addfast,01745cim a22003852u 4500
3601141,20151214182807.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897118,NIC,NIC,NIC,,"Harris, Robert.",,,,,,,,,,,,,The humanities in everyday life and public policy,[sound recording],1984.,1 sound cassette (90 min.) :,"analog, mono.",Sponsored by: Society for the Humanities.,,,,,"Lecture, October 5, 1984.","The five speakers discusss topics such as the problems facing
                foreign-language students in American universities, conflicts over the distribution
                of the National Endowment for the Humanities funds, and the need for public
                acknowledgement of foreign cultural concerns by the National Endowment for the
                Humanities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities.,,Political aspects.,,,(OCoLC)fst00963588,fast,Humanities,Political aspects,,,,,,,,,,,,"Lanham, Richard A.",,1936- ,,,,,,,,CULectures,20000327120000.0,20141221,m,batch,lts,addfast,01524cim a22003732u 4500
3601147,20151214182807.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897128,NIC,NIC,NIC,,"Katzenstein, Mary Fainsod,",,1945-,,,,Assessing Reagan's record: women's concerns,,[sound recording],,,,,,,1984.,1 sound cassette (81 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.",,,,,"Lecture, October 9, 1984.","Katzenstein speaks of Reagan's attempts to reestablish the
                patriarchal family as predominant in the U.S. Feldman speaks of Reagan's
                attempts to curtail federal medical assistance for the elderly, a disproportionate
                number of whom are living in poverty.",,,,,,,,,"Reagan, Ronald.",,,,,(OCoLC)fst00036392,fast,"Reagan, Ronald",,,United States.,President (1981-1989 : Reagan),,,,,,,,,,,,,,,,,,fast,Since 1980,Women,,"Legal status, laws, etc.",1980-,United States,(OCoLC)fst01176947,fast,Women,Social conditions,,,,,(OCoLC)fst01204155,fast,United States,,,,,"Feldman, Margaret.",,,,,,,,,,CULectures,20000417120000.0,20141221,m,batch,lts,addfast,01501cim a22003612u 4500
3601148,20151214182807.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897129,NIC,NIC,NIC,,"Certeau, Michel de. ",,,,,,"Sixteenth and seventeenth century Spanish and French mysticism, part
                5",,[sound recording],,,,,,,1984.,2 sound cassettes (105 min.) :,"analog, mono.",Sponsored by: Society for the Humanities.,,,,,"Lecture, October 10, 1984.","de Certeau discusses the criteria necessary for recognizing mystical
                texts as such and suggests ways in which mystical texts may be analyzed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,1500 - 1700,French literature,,History and criticism.,16th and 17th centuries.,,(OCoLC)fst01711000,fast,Spanish literature,Classical period,,,,,,,,,(OCoLC)fst01411635,fast,"Criticism, interpretation, etc.",,,,,,,,,,,CULectures,20000303120000.0,20141221,m,batch,lts,addfast,01520cim a22003732u 4500
3601159,20151214182808.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897151,NIC,NIC,NIC,,"Quinones, Riccardo.",,,,,,"Ulysses' brother: the Cain and Abel theme in Dante and
                Machiavelli",,[sound recording],,,,,,,1984.,1 sound cassette (70 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.",,,,,"Lecture, October 22, 1984.","Quinones describes the history of the Cain and Abel theme in
                literature, emphasizing Dante's use of it in the character of Ulysses and
                Machiavelli's ""revolutionary"" application of it in his
                work.",,"Dante Alighieri,",1265-1321,Symbolism.,(OCoLC)fst00029097,fast,"Dante Alighieri,",1265-1321,"Machiavelli, Niccolo,",1469-1527,,,Symbolism.,(OCoLC)fst00029240,fast,"Machiavelli, Niccolò,",1469-1527,,,,,,,,,,,,,,,,,,,,,,,Cain complex.,,"Themes, motives.",,,(OCoLC)fst01140749,fast,Symbolism,"Themes, motives",,,,,,,,,,,,,,,,,,,Renaissance colloquia.,,,CULectures,20000315120000.0,20141221,m,batch,lts,addfast,01617cim a22003852u 4500
3601174,20151214182811.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897173,NIC,NIC,NIC,,"Greve, Michael S.",,,,,,Assessing Reagan's record: economic policy,,[sound recording],,,,,,,1984.,1 sound cassette (91 min.) :,"analog, mono.","Sponsored by: Asian-American coalition,University Unions Programming
                Board,Africana Studies and Research Center.",,,,,"Debate, October 24, 1984.","McAdams points to the weaknesses in Reagan's economic policy
                while Greve defends it. Ranney emphasizes social justice concerns while Jachson
                focuses on the long-term societal effects of Reagan's policies.",,,,,,,,,"Reagan, Ronald.",,,,,(OCoLC)fst00036392,fast,"Reagan, Ronald",,,United States.,President (1981-1989 : Reagan),,,,,,,,,,,,,,,,,,fast,Since 1980,,,,,,(OCoLC)fst01122498,fast,Social history,,United States,Social conditions,1980-,,(OCoLC)fst01204155,fast,United States,,,,,"Jackson, Steven.",,,,,,,Assessing Reagan's Record.,,,CULectures,20000411120000.0,20141221,m,batch,lts,addfast,01649cim a22004092u 4500
3604600,20151214183429.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63903054,NIC,NIC,NIC,,"Woolhouse, Harold W.",,,,,,"Taking control of evolution: genetic manipulation and its
                consequences for various species",,[sound recording],,,,,,,1984.,1 sound cassette (85 min.) :,"analog, mono.",Sponsored by: Andrew D. White Professors-At-Large Program.,,,,,"Lecture, October 25, 1984.","Woolhouse describes the way in which scientists produce new hybrids
                by genetic manipulation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hybridization.,,Law and legislation.,,,(OCoLC)fst00964535,fast,Hybridization,Law and legislation,,,,,,,,,,,,,,,,,,,Andrew D. White Professors-At-Large lectures.,,,CULectures,19991201120000.0,20141221,m,batch,lts,addfast,01209cim a22003132u 4500
3601073,20151214182757.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897014,NIC,NIC,NIC,,"Goodstein, David B.,",,1932-,,,,"Can social change be achieved through the United States'
                political system?",,[sound recording],,,,,,,1984.,1 sound cassette (60 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.",,,,,"Lecture, October 30, 1984.","Goodstein discusses social change which has occurred during the past
                20 years and its implications for the U.S. political system.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social change.,,,,,(OCoLC)fst01122310,fast,Social change,,United States,Politics and government.,,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,,,,,,CULectures,20000214120000.0,20141221,m,batch,lts,addfast,01234cim a22003252u 4500
3601074,20151214182757.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897016,NIC,NIC,NIC,,"Kleihues, Josef Paul.",,,,,,Berlin architecture and urban design since 1900,,[sound recording],,,,,,,1984.,1 sound cassette (79 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.",,,,,"Lecture, October 31, 1984.","Kleihues describes several of the civic designs which were suggested
                for Berlin during the period 1900-1965.",No reproductions authorized.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,1900 - 1965,City planning,,,1900-1965.,Berlin.,(OCoLC)fst00862177,fast,City planning,,,,,,(OCoLC)fst01204829,fast,Germany,Berlin,,,,,,,,,,,Preston H. Thomas memorial lectures.,,,CULectures,20000313120000.0,20141221,m,batch,lts,addfast,01271cim a22003492u 4500
3601076,20151214182758.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897019,NIC,NIC,NIC,,"Weisskopf, Victor Frederick,",,1908-2002.,,,,How to avoid nuclear war,,[sound recording],,,,,,,1984.,1 sound cassette (70 min.) :,"analog, mono.","Sponsored by: Center for World Community,Interreligious International
                Ministries Committee (IRIM).",,,,,"Lecture, October 31, 1984.","Weisskopf discusses nuclear war, the cold war, and the present
                realities of the Strategic Defense Initiative (SDI). He describes the work of
                antinuclear activists and their influence on public policy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nuclear disarmament.,,,,,(OCoLC)fst01039933,fast,Nuclear disarmament,,,,,,,,,,,,,,,,,,,,America and the world community.,,,CULectures,20000406120000.0,20141221,m,batch,lts,addfast,01275cim a22003132u 4500
3601081,20151214182758.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897025,NIC,NIC,NIC,,"Kleihues, Josef Paul.",,,,,,Architecture between individualism and convention,,[sound recording],,,,,,,1984.,1 sound cassette (84 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.",,,,,"Lecture, November 2, 1984.","Kleihues describes the current architectual designs being used in the
                renovation of inner-city Berlin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Architecture,,Conservation and restoration.,,Germany.,(OCoLC)fst00813377,fast,Architecture,Conservation and restoration,,,,,(OCoLC)fst01210272,fast,Germany,,,,,,,,,,,,Preston H. Thomas memorial lectures.,,,CULectures,20000313120000.0,20141221,m,batch,lts,addfast,01194cim a22003252u 4500
3601096,20151214182800.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897045,NIC,NIC,NIC,,"McCourt, James,",,1941- ,,,,"James McCourt reads from ""Time Out of Mind""",,[sound recording],,,,,,,1984.,1 sound cassette (63 min.) :,"analog, mono.",Sponsored by: Council on the Creative and Performing Arts.,,,,,"Reading, November 6, 1984.","McCourt reads from his work in progress, ""Time Out of
                Mind"".",,,,,,,,,"McCourt, James,",1941- ,,,,(OCoLC)fst01455939,fast,"McCourt, James,",1941-,,,,,,,,,,,,,,,,,,,,,fast,1900 - 1999,"Literature, Modern",,,20th century.,,(OCoLC)fst01000172,fast,"Literature, Modern",,,,,,,,,,,,,,,,,,,,,,,CULectures,20000330120000.0,20141221,m,batch,lts,addfast,01097cim a22003132u 4500
3601102,20151214182801.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63897056,NIC,NIC,NIC,,"Socolow, Sanford.",,,,,,"Talk on what makes ""60 Minutes"" tick",,[sound recording],,,,,,,1984.,1 sound cassette (55 min.) :,"analog, mono.","Sponsored by: Sigma Delta Chi,Cornell Daily Sun,The Society of
                Professional Journalists.",,,,,"Lecture, November 7, 1984.","Socolow chronicles the history of ""60 Minutes"".",No reproductions authorized.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Television broadcasting of news.,,Reviews.,,,(OCoLC)fst01147026,fast,Television programs,,,,,,,,,,(OCoLC)fst01423760,fast,Reviews,,,,,,,,,,,CULectures,19991201120000.0,20141221,m,batch,lts,addfast,01295cim a22003492u 4500
3601050,20151214182754.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63896985,NIC,NIC,NIC,,"Katzenstein, Peter J.",,,,,,,,,,,,,The 'German Question' reopened,[sound recording],1984.,1 sound cassette (52 min.) :,"analog, mono.","Speaker(s): Katzenstein is a professor in the Government Department,
                Cornell.",,,,,"Lecture, November 10, 1984.","Katzenstein emphasizes the contradictory elements inherent in the
                German reunification question.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(OCoLC)fst00941961,fast,German reunification question (1949-1990),,,,,fast,Since 1945,Nationalism.,,,,,(OCoLC)fst01122498,fast,Social history,,Germany (East),Foreign relations,1945-,Germany (West),(OCoLC)fst01210273,fast,Germany (West),,,,,,,,,,,,"East Germany, West Germany and the Soviet Union: the changing
                relationship.",,,CULectures,20000403120000.0,20141221,m,batch,lts,addfast,01692cim a22004212u 4500
3604601,20151214183429.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63903055,NIC,NIC,NIC,,"Borlaug, Norman E.",,1914-2009.,"(Norman Ernest),",,,Seeds and global politics,,[sound recording],,,,,,,1984.,1 sound cassette (53 min.) :,"analog, mono.",Sponsored by: Andrew D. White Professors-At-Large Program.,,,,,"Lecture, November 12, 1984.","Borlaug discusses various social and political influences on the
                development of agriculture and international agricultural policy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture and politics.,,International cooperation.,,,(OCoLC)fst00801551,fast,Agriculture,International cooperation,,,,,,,,,,,,,,,,,,,Andrew D. White Professors-At-Large lectures.,,,CULectures,20000307120000.0,20141221,m,batch,lts,addfast,01340cim a22003372u 4500
3601059,20151214182756.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63896996,NIC,NIC,NIC,,"Grundberg, Andy.",,,,,,Masking and unmasking of photography in post-modernism,,[sound recording],,,,,,,1984.,1 sound cassette (54 min.) :,"analog, mono.",Speaker(s): Grundberg is a visiting artist.,,,,,"Lecture, November 14, 1984.","Grundberg defines postmodernism and describes its
                importance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,1900 - 1999,"Photography, Abstract.",,,20th century.,,(OCoLC)fst01073164,fast,Postmodernism,,,,,,,,,,,,,,,,,,,,,,,CULectures,20000121120000.0,20141221,m,batch,lts,addfast,01314cim a22003732u 4500
3601042,20151214182753.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63896972,NIC,NIC,NIC,,"Caplan, Paula J.",,,,,,,,,,,,,The myth of women's masochism,[sound recording],1984.,1 sound cassette (80 min.) :,"analog, mono.","Sponsored by: Women's Studies Program,University Health
                Services.",,,,,"Lecture, November 15, 1984.","Caplan describes a number of ideas which surround sex differences,
                particularly those which relate to female ""masochism"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Psychology, Pathological.",,Sex differences.,,,(OCoLC)fst01114321,fast,Sex differences,,,,,,,,,,,,,,,,,,,,,,,CULectures,19991201120000.0,20141221,m,batch,lts,addfast,01134cim a22003132u 4500
3600742,20151214182702.0,ss|lmnjluz|nuu,991101s1984 nyunnn l eng d,(OCoLC)63896533,NIC,NIC,NIC,,"LaCapra, Dominick,",,1939- ,,,,History and the novel,,[sound recording],,,,,,,1984.,1 sound cassette (75 min.) :,"analog, mono.","Speaker(s): LaCapra is director of the Society for the Humanities and
                is a professor in the History department, Cornell.",,,,,"Lecture, November 28, 1984.","LaCapra describes the relationship of the novel to history and
                briefly chronicles intellectual history, interpreting and defining the novel through
                its relation to history.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,History,Miscellanea.,History.,,,(OCoLC)fst01038735,fast,Nonfiction novel,,,,,,,,,,(OCoLC)fst01423854,fast,Miscellanea,,,,,,,,,,,CULectures,20000501120000.0,20141221,m,batch,lts,addfast,01450cim a22003612u 4500
3601019,20151214182750.0,ss|lmnjluz|nuu,991101s1985 nyunnn l eng d,(OCoLC)63896937,NIC,NIC,NIC,,"Hoffmann, Roald.",,,,,,"One culture: creative modes common to the arts and
                sciences",,[sound recording],,,,,,,1985.,1 sound cassette (73 min.) :,"analog, mono.",Sponsored by: Society for the Humanities.,,,,,"Lecture, February 6, 1985.","Hoffmann discusses the rift between scientists and humanists. He
                presents three case studies of chemistry, poetry, and visual arts and describes the
                similarities common to these fields.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Science and the humanities.,,Study and teaching.,,,(OCoLC)fst01108387,fast,Science,Study and teaching,,,,,,,,,,,,,,,,,,,,,,CULectures,19991201120000.0,20141221,m,batch,lts,addfast,01414cim a22003492u 4500
3600721,20151214182659.0,ss|lmnjluz|nuu,991101s1985 nyunnn l eng d,(OCoLC)63896501,NIC,NIC,NIC,,"Sheerman, Barry.",,,,,,Has the Labour Party a future in British politics?,,[sound recording],,,,,,,1985.,1 sound cassette (63 min.) :,"analog, mono.",Speaker(s): Sheerman is a British politician.,,,,,"Lecture, February 19, 1985.","Sheerman discusses the British parliament, its history as it relates
                to the Labour party, and its possibilities for the future.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,1979 - 1997,Political parties,,,,Great Britain.,(OCoLC)fst01069781,fast,Political science,,Great Britain,Politics and government,1979-1997.,,(OCoLC)fst01204623,fast,Great Britain,,,,,,,,,,,,,,,CULectures,20000322120000.0,20141221,m,batch,lts,addfast,01286cim a22003372u 4500
3601009,20151214182749.0,ss|lmnjluz|nuu,991101s1985 nyunnn l eng d,(OCoLC)63896923,NIC,NIC,NIC,,"Beneria, Lourdes.",,,,,,"Women, development and the international economy",,[sound recording],,,,,,,1985.,1 sound cassette (84 min.) :,"analog, mono.","Speaker(s): Beneria is a member of the economics department at
                Rutgers University. (In 1986, she joined the faculty in the department of City and
                Regional Planning, Cornell.)",,,,,"Lecture, March 1, 1985.","Beneria discusses the involvement of women in economic development
                around the world and describes the manner in which research has evolved in this
                field over the past 15 years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Women,,Social conditions.,,,(OCoLC)fst01176947,fast,Women,Social conditions,,,,,,,,,,,,,,,,,,,,,,CULectures,19991201120000.0,20141221,m,batch,lts,addfast,01490cim a22003372u 4500
3600993,20151214182747.0,ss|lmnjluz|nuu,991101s1985 nyunnn l eng d,(OCoLC)63896898,NIC,NIC,NIC,,"Kabashima, Ikuo,",,1947-,,,,"Popular support and the stability of the liberal democratic party
                regime in Japan",,[sound recording],,,,,,,1985.,1 sound cassette (73 min.) :,"analog, mono.",Sponsored by: China-Japan Program.,,,,,"Lecture, March 11, 1985.","Kabashima discusses the processes which helped maintain the power of
                the Liberal Democratic Party (LDP) for the last 30 years, particularly in reference
                to political corruption and the political system's reaction to it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Political parties,,,,Japan.,(OCoLC)fst01069781,fast,Political science,,Japan,Politics and government.,,,(OCoLC)fst01204082,fast,Japan,,,,,,,,,,,,,,,CULectures,20000428120000.0,20141221,m,batch,lts,addfast,01315cim a22003252u 4500
